,Unnamed..0,Time,Type.of.Implant,Stim.Target,Project,File.Name,Outcome,Premature_or_not,Omission_or_not,Accuracy,Animal,Stim,Protocol,Date,Actual.Nosepoke,Trial.Number,Reaction.Time,Session.Number,Omission_binary,Premature_binary
1,0,56.73,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,1,0.4,1,0,0
2,1,74.62,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,2,0.14,1,0,0
3,2,86.62,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,3,0.385,1,0,0
4,3,104.305,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,4,0.205,1,0,0
5,4,132.67,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,5,-0.045,1,0,1
6,5,146.9,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,6,0.365,1,0,0
7,6,160.835,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,7,0.295,1,0,0
8,7,179.275,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Omission,Omission,Omission,,FC2,off,5CSRTT Day 1,7/20/2020,Omission,8,,1,1,1
9,8,205.135,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,9,-0.255,1,0,1
10,9,216.55,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,10,0.41,1,0,0
11,10,227.755,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,11,-1.605,1,0,1
12,11,236.575,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,12,0.82,1,0,0
13,12,248.7,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP2,13,0.145,1,0,0
14,13,262.665,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,14,0.405,1,0,0
15,14,277.055,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP1,15,1.435,1,0,0
16,15,290.01,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,16,-0.58,1,0,1
17,16,301.565,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP2,17,-1.4,1,0,1
18,17,317.95,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,18,0.575,1,0,0
19,18,330.725,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,19,3.72,1,0,0
20,19,346.615,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,20,0.43,1,0,0
21,20,358.885,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,21,-0.985,1,0,1
22,21,368.565,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,22,-0.905,1,0,1
23,22,378.315,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,23,0.425,1,0,0
24,23,389.735,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,24,0.615,1,0,0
25,24,402.425,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP3,25,0.34,1,0,0
26,25,413.18,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP4,26,-1.46,1,0,1
27,26,425.575,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,27,0.445,1,0,0
28,27,436.165,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,28,0.715,1,0,0
29,28,447.355,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP1,29,-0.39,1,0,1
30,29,458.34,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP5,30,3.3,1,0,0
31,30,473.205,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP3,31,-0.3,1,0,1
32,31,485.445,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Incorrect Response,Not_premature,Not_omission,Error,FC2,off,5CSRTT Day 1,7/20/2020,NP4,32,0.325,1,0,0
33,32,498.235,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,33,0.34,1,0,0
34,33,510.02,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,34,0.34,1,0,0
35,34,520.46,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP5,35,0.71,1,0,0
36,35,532.12,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Premature Response,Premature,Not_omission,,FC2,off,5CSRTT Day 1,7/20/2020,NP5,36,-1.235,1,0,1
37,36,542.26,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP4,37,0.415,1,0,0
38,37,555.6,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP1,38,0.325,1,0,0
39,38,572.545,Electrode,Mid-Striatum,5c,Currentstimsessions\FC2off_2020_07_20__15_07_04.csv,Reward,Not_premature,Not_omission,Reward,FC2,off,5CSRTT Day 1,7/20/2020,NP2,39,0.465,1,0,0
