entryTime,exitTime,location,phase,taskTrial
88.485,88.88,3,0,0
89.16,89.89,2,0,0
90.38,90.525,2,0,0
90.79,90.895,2,0,0
90.945,91.475,2,0,0
98.05,98.31,3,1,1
98.515,98.855,1,2,1
103.9,104.005,1,0,0
107.3,107.535,3,1,2
107.795,108.135,2,2,2
115.905,116.145,3,1,3
116.395,117.12,2,2,3
124.915,125.135,3,1,4
125.36,125.695,1,2,4
129.515,129.575,1,0,0
131.35,132.1,3,0,0
132.425,132.595,3,0,0
132.595,132.92,3,1,5
133.105,133.435,1,2,5
139.91,140.47,2,0,0
140.72,140.85,3,1,6
141.045,141.83,2,2,6
144.585,144.685,1,0,0
146.855,147.27,3,0,0
147.34,148.2,3,0,0
148.24,148.45,3,1,7
148.655,149.01,2,2,7
149.22,149.485,3,0,0
149.83,149.91,1,0,0
157.17,157.485,3,1,8
157.7,158.115,1,2,8
164.465,165.225,1,0,0
165.385,165.545,1,1,9
165.6,165.915,1,1,9
166.325,166.51,3,1,9
166.765,167.15,1,2,9
173.455,175,3,0,0
175.28,175.77,1,1,10
175.975,176.42,3,1,10
176.71,177.11,2,2,10
177.375,177.595,3,0,0
177.795,178.215,1,0,0
182.7,182.935,2,0,0
183.19,183.355,3,0,0
183.545,183.955,2,0,0
184.38,184.54,2,1,11
184.735,185.015,3,1,11
185.205,185.76,2,2,11
194.12,194.38,3,1,12
194.62,195.015,1,2,12
199.185,199.285,1,0,0
199.675,200.135,1,0,0
200.215,200.38,1,0,0
200.48,200.63,1,0,0
200.72,200.95,1,0,0
201.035,201.135,1,0,0
201.27,201.395,1,0,0
201.65,201.805,1,0,0
202.365,203.045,3,1,13
203.235,203.62,1,2,13
208.7,208.89,2,0,0
209.155,209.355,2,0,0
211.445,211.68,3,1,14
211.86,212.165,1,2,14
217.17,218.5,1,0,0
218.54,218.635,1,0,0
218.665,218.76,1,0,0
218.815,218.88,1,0,0
218.985,219.2,1,0,0
219.665,220.06,3,1,15
220.23,220.605,1,2,15
226.5,227.405,3,0,0
227.475,227.5,3,1,16
227.575,227.66,3,2,16
231.385,232.15,3,0,0
232.39,232.755,1,0,0
238.62,238.84,3,1,17
239.12,239.595,2,2,17
239.65,239.68,2,0,0
245.94,247.63,3,0,0
247.885,248.21,1,1,18
248.395,249.045,3,1,18
249.345,249.855,2,2,18
252.205,253.1,3,0,0
253.28,253.675,1,0,0
260.97,261.48,3,1,19
261.66,262.025,1,2,19
269.67,269.81,3,1,20
270.035,270.43,1,2,20
276.68,276.87,2,0,0
276.88,276.925,2,0,0
276.96,277.29,2,0,0
277.61,277.805,3,1,21
278.03,278.425,1,2,21
283.67,284.88,1,0,0
284.965,285.31,1,0,0
285.73,285.95,3,1,22
286.14,286.47,1,2,22
293.015,293.16,1,0,0
293.98,294.24,3,1,23
294.445,294.73,1,2,23
300.765,300.94,3,0,0
301.215,301.45,1,0,0
302.255,302.67,3,1,24
302.93,303.305,1,2,24
310.405,311.06,3,1,25
311.26,311.76,1,2,25
312.075,312.36,3,0,0
312.385,312.69,3,0,0
314.06,314.325,2,0,0
319.41,319.555,3,1,26
319.825,320.23,1,2,26
327.35,327.62,3,1,27
327.87,328.38,2,2,27
335.945,336.245,1,1,28
336.53,337.015,3,1,28
337.205,337.555,1,2,28
337.98,338.495,3,0,0
338.81,339.15,2,0,0
339.375,339.525,2,0,0
339.56,339.585,2,0,0
340.485,341.05,3,0,0
341.105,341.265,3,0,0
341.56,341.76,2,0,0
347.08,347.34,3,1,29
347.575,347.91,1,2,29
352.425,352.82,2,0,0
353.055,353.3,3,0,0
353.505,353.995,2,0,0
355.825,356.185,3,1,30
356.435,356.965,2,2,30
357.17,357.41,3,0,0
364.265,364.505,3,1,31
364.785,365.23,2,2,31
373.29,373.585,1,1,32
373.975,374.42,3,1,32
374.575,374.91,1,2,32
377.84,378.38,2,0,0
378.625,378.815,3,0,0
379.03,379.895,2,0,0
384.16,384.735,3,1,33
384.945,385.355,1,2,33
397.98,398.23,3,1,34
398.53,398.99,2,2,34
406.22,406.49,3,1,35
406.78,407.145,2,2,35
414.765,414.81,2,1,36
415.1,415.335,3,1,36
415.545,415.935,2,2,36
416.215,416.645,3,0,0
416.865,417.25,1,0,0
423.105,423.25,2,1,37
423.49,423.91,3,1,37
424.09,424.45,2,2,37
428.585,428.98,2,0,0
429.275,429.43,3,0,0
429.665,430.04,2,0,0
430.42,430.515,2,0,0
432.43,432.63,1,1,38
432.845,433.44,3,1,38
433.62,434.17,1,2,38
434.66,435.03,1,0,0
437.235,438.09,2,0,0
438.23,438.37,2,0,0
438.42,438.58,2,0,0
443.13,444.025,3,1,39
444.245,444.71,2,2,39
448.95,449.475,3,0,0
449.615,449.825,3,0,0
450.09,450.915,2,0,0
451.005,451.07,2,0,0
451.08,451.75,2,0,0
453.735,453.98,3,1,40
454.18,454.585,2,2,40
460.91,461.14,3,0,0
462.135,462.585,2,1,41
462.635,462.815,2,1,41
463.1,463.61,3,1,41
463.815,464.315,2,2,41
464.875,465.455,3,0,0
465.705,466.035,1,0,0
472.665,473.335,3,1,42
473.56,474.37,1,2,42
474.57,475.25,3,0,0
475.52,475.8,2,0,0
476.035,476.56,2,0,0
482.44,482.67,3,1,43
482.87,483.315,2,2,43
483.52,483.63,2,0,0
489.825,490.12,2,0,0
490.165,490.43,2,1,44
490.675,490.82,3,1,44
491.02,491.455,2,2,44
500.065,500.415,3,1,45
500.69,501.05,1,2,45
507.1,507.495,1,0,0
507.575,508.12,1,0,0
508.38,508.905,3,1,46
509.11,509.425,1,2,46
510.845,511.2,2,0,0
511.275,511.975,2,0,0
512.115,512.3,2,0,0
512.355,512.375,2,0,0
519.23,519.505,3,1,47
519.76,520.255,2,2,47
525.76,526.85,1,0,0
527.07,527.28,3,1,48
527.525,528.02,2,2,48
528.045,528.13,2,0,0
534.905,535.24,3,1,49
535.26,535.305,3,2,49
535.32,535.715,3,2,49
535.98,537.08,2,2,49
537.325,537.63,3,0,0
537.82,538.355,2,0,0
538.44,538.91,2,0,0
539.085,539.275,2,0,0
539.495,539.735,3,0,0
539.945,540.3,2,0,0
540.94,541.175,2,0,0
541.615,541.955,3,0,0
543.88,544.435,3,1,50
544.685,545.24,2,2,50
551.525,552.03,1,0,0
552.28,552.745,3,1,51
553.03,553.455,2,2,51
559.91,560.055,1,0,0
560.11,560.34,1,0,0
560.435,560.745,1,1,52
560.975,561.39,3,1,52
561.58,561.96,1,2,52
566.785,567.055,2,0,0
567.125,567.405,2,0,0
567.655,567.695,2,0,0
567.83,568.2,2,0,0
569.565,569.965,3,1,53
570.165,570.565,1,2,53
573.04,573.58,3,0,0
573.86,574.455,2,0,0
578.04,578.29,3,1,54
578.53,579.195,2,2,54
586.55,586.815,3,1,55
587.06,587.535,2,2,55
587.55,587.65,2,0,0
593.595,593.95,1,0,0
594.085,594.325,1,0,0
594.545,595.1,3,1,56
595.28,595.595,1,2,56
601.665,601.89,2,0,0
602.735,602.96,3,1,57
603.13,603.52,2,2,57
606.875,607.465,1,0,0
607.615,607.79,1,0,0
608.14,608.38,1,0,0
608.665,609.465,3,0,0
609.615,609.93,3,0,0
610.155,610.625,1,0,0
611.49,611.725,3,1,58
611.915,612.205,1,2,58
618.38,619.7,2,0,0
619.925,620.115,3,1,59
620.56,620.805,3,2,59
621.03,621.58,1,2,59
626.21,627.09,1,0,0
627.165,627.195,1,0,0
627.235,627.58,1,0,0
627.65,627.685,1,0,0
628.105,628.745,3,0,0
628.805,629.03,3,1,60
629.17,629.68,1,2,60
629.775,629.995,1,0,0
630.25,630.65,1,0,0
630.7,631.175,1,0,0
634.305,634.92,2,0,0
637.025,637.52,3,1,61
637.71,638.01,1,2,61
644.405,645.165,1,0,0
645.38,645.785,3,1,62
645.97,646.43,1,2,62
647.975,648.415,3,0,0
648.6,648.95,1,0,0
649.25,649.515,3,0,0
649.76,651.185,2,0,0
652.215,652.505,3,0,0
652.755,653.16,2,0,0
653.29,653.435,2,1,63
653.73,653.89,3,1,63
654.23,654.455,1,2,63
663.16,663.465,3,1,64
663.7,664.61,1,2,64
665.005,665.495,3,0,0
665.55,665.865,3,0,0
666.135,666.415,3,0,0
666.69,666.84,1,0,0
666.96,666.985,1,0,0
672.85,673.03,3,1,65
673.225,673.635,1,2,65
675.345,675.64,1,0,0
675.83,676.135,1,0,0
676.42,677.17,3,0,0
677.34,677.82,1,0,0
678.74,679.355,2,0,0
679.375,679.435,2,0,0
679.535,679.775,2,0,0
680.12,680.38,3,0,0
680.61,680.85,3,1,66
681.02,681.585,2,2,66
687.11,687.21,1,0,0
687.54,688.195,3,0,0
688.47,688.81,2,1,67
689.04,689.205,3,1,67
689.365,689.8,2,2,67
695.08,695.665,2,0,0
695.9,696.19,2,0,0
696.215,696.3,2,0,0
696.4,696.555,2,0,0
696.57,696.59,2,1,68
696.89,697,3,1,68
697.195,697.615,2,2,68
702.945,703.205,3,0,0
703.51,704.45,2,0,0
704.46,704.985,2,1,69
705.255,705.3,3,1,69
705.53,706.05,2,2,69
713.685,713.875,3,1,70
714.165,714.81,2,2,70
718.34,719.085,3,0,0
719.36,720.82,2,0,0
720.98,721.245,2,0,0
721.565,721.905,2,1,71
724.445,725.17,3,1,71
725.475,726.04,2,2,71
726.26,726.5,3,0,0
726.72,727.165,2,0,0
727.24,727.38,2,0,0
730.24,730.31,3,0,0
730.38,730.75,3,0,0
730.965,731.225,1,0,0
733.405,733.81,3,1,72
733.99,734.425,1,2,72
740.82,741.775,2,0,0
742.035,742.205,3,1,73
742.41,742.805,2,2,73
747.515,747.815,1,0,0
748.025,748.31,3,0,0
748.65,748.925,2,0,0
749.06,749.315,2,0,0
749.565,749.675,3,1,74
749.88,750.47,2,2,74
757.72,757.96,3,1,75
758.035,758.34,3,2,75
758.53,758.875,1,2,75
764.08,765.49,1,0,0
765.735,765.86,1,1,76
766.11,766.525,3,1,76
766.69,767.06,1,2,76
773.985,774.755,2,1,77
775.07,775.23,3,1,77
775.42,776.4,2,2,77
778.645,778.905,3,0,0
779.135,779.51,2,0,0
780.415,780.805,3,0,0
780.985,781.325,2,0,0
782.675,782.97,3,1,78
783.165,783.57,2,2,78
785.595,785.99,1,0,0
786.27,786.79,1,0,0
786.975,787.255,1,0,0
787.37,787.565,1,0,0
787.78,788.14,1,0,0
788.705,789.55,3,0,0
789.73,790,1,0,0
794.785,795.02,1,1,79
795.32,796.045,3,1,79
796.32,796.555,2,2,79
801.905,802.19,1,0,0
802.41,802.99,3,0,0
803.27,803.38,2,0,0
807.32,807.66,3,1,80
807.905,808.685,2,2,80
808.945,809.415,3,0,0
809.615,810.05,2,0,0
810.27,810.485,3,0,0
810.69,810.915,1,0,0
811.29,812.16,1,0,0
817.23,817.97,3,1,81
818.175,818.55,1,2,81
826.755,827.09,3,1,82
827.27,827.655,1,2,82
831.385,831.54,2,0,0
831.87,832.065,3,0,0
832.305,832.56,2,0,0
833.54,833.85,3,0,0
834.105,834.21,1,0,0
836.29,836.815,3,1,83
837.055,837.7,2,2,83
837.71,837.785,2,0,0
837.805,838.055,2,0,0
839.16,839.605,3,0,0
842.795,843.135,3,0,0
843.48,843.815,2,0,0
844.05,844.265,3,0,0
844.51,844.82,3,1,84
845.025,845.565,2,2,84
846.575,846.735,1,0,0
853.605,853.84,3,1,85
854.08,854.71,2,2,85
857.145,857.49,1,0,0
857.715,858.335,3,0,0
858.52,858.965,1,0,0
859.11,859.275,1,0,0
859.59,859.935,3,0,0
860.185,860.425,3,0,0
860.59,860.84,1,0,0
861.83,862.04,3,1,86
862.37,862.71,2,2,86
869.165,869.365,2,0,0
870.135,870.725,3,1,87
870.915,871.805,2,2,87
873.265,873.655,3,0,0
873.885,874.185,2,0,0
878.88,879.125,3,1,88
879.41,879.745,2,2,88
879.965,880.51,3,0,0
880.735,881.2,2,0,0
882.525,883.04,1,0,0
887.885,888.535,3,1,89
888.735,889.165,1,2,89
895.105,896.44,1,0,0
896.85,897.095,3,1,90
897.29,897.65,1,2,90
904.91,905.89,3,1,91
906.08,906.44,1,2,91
910.755,911.545,1,0,0
911.66,911.735,1,0,0
911.765,911.99,1,0,0
912.27,912.48,1,0,0
914.785,914.995,2,1,92
915.225,915.615,3,1,92
915.825,916.195,1,2,92
922.465,922.71,3,0,0
922.97,923.25,2,1,93
923.575,923.87,3,1,93
924.105,924.51,2,2,93
924.72,925.35,3,0,0
925.57,926.02,1,0,0
927.445,927.715,1,0,0
930.405,930.735,2,0,0
931.015,931.25,3,0,0
931.315,931.565,3,1,94
931.77,932.325,2,2,94
939.91,940.085,3,1,95
940.345,940.9,1,2,95
947.845,947.965,2,1,96
948.23,948.45,3,1,96
948.66,949.005,1,2,96
954.85,956.68,1,0,0
957.225,957.63,3,1,97
957.83,958.265,1,2,97
962.33,962.67,2,0,0
962.775,962.945,2,0,0
963.275,963.55,3,0,0
963.625,964.075,3,0,0
964.275,964.515,2,0,0
964.79,964.97,2,0,0
965.3,965.54,3,1,98
965.76,966.215,1,2,98
974.16,974.4,3,1,99
974.615,974.97,1,2,99
980.405,980.72,3,0,0
980.93,981.82,1,0,0
982.28,982.72,3,1,100
982.915,983.365,1,2,100
988.39,988.995,3,0,0
989.27,989.985,2,0,0
990.225,990.485,3,1,101
990.69,991.23,2,2,101
997.275,999.14,1,0,0
999.195,999.215,1,1,102
999.295,999.46,1,1,102
999.85,1000.1,3,1,102
1000.28,1000.645,1,2,102
1005.57,1006.13,2,0,0
1006.41,1006.605,3,0,0
1006.84,1007.44,2,0,0
1007.865,1008.175,3,1,103
1008.355,1008.725,3,2,103
1008.915,1009.42,1,2,103
1014.73,1016.03,1,0,0
1016.3,1016.705,3,1,104
1017.025,1017.455,2,2,104
1023.15,1023.575,3,0,0
1023.85,1024.155,2,0,0
1024.17,1024.43,2,1,105
1024.66,1024.895,3,1,105
1025.105,1025.965,2,2,105
