cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
101.525,102.12,102.99,0.86999999999999,L1,1,1,1,0,1,1
110.115,110.5,111.15,0.650000000000006,L1,2,0,1,0,0,1
118.275,118.785,119.445,0.659999999999997,L1,3,1,1,0,1,1
126.57,127.18,127.85,0.669999999999987,L1,4,1,1,0,1,1
134.975,135.96,136.555,0.594999999999999,L1,5,0,1,0,0,1
143.68,144.02,144.6,0.579999999999984,F1,1,0,0,0,0,1
151.705,152.065,152.915,0.849999999999994,F1,1,0,1,0,1,0
160.04,160.875,161.465,0.590000000000003,F1,2,1,1,0,1,1
168.59,172.975,173.76,0.784999999999997,F1,3,0,0,2,0,1
180.865,181.58,182.09,0.509999999999991,F1,1,0,1,0,1,0
189.215,194.34,194.995,0.655000000000001,F1,2,1,1,0,1,1
202.12,202.665,203.29,0.625,F1,3,0,1,0,1,0
210.415,211.37,211.905,0.534999999999997,F1,4,1,1,0,1,1
219.03,220.305,221.035,0.72999999999999,F1,5,0,0,3,0,1
228.14,229.69,230.32,0.629999999999995,F1,1,0,0,3,0,1
237.425,238.28,238.865,0.585000000000008,F1,1,0,1,0,1,0
245.99,246.795,247.2,0.405000000000001,F1,2,1,1,0,1,1
254.325,255.04,255.73,0.689999999999998,F1,3,0,0,3,0,1
262.835,264.35,264.845,0.495000000000005,F1,1,0,1,0,1,0
271.97,272.625,273.065,0.439999999999998,F1,2,1,1,0,1,1
280.19,280.88,281.565,0.685000000000002,F1,3,0,0,3,0,1
288.67,289.69,290.265,0.574999999999989,F1,1,0,1,0,1,0
297.39,299.045,299.51,0.464999999999975,F1,2,1,1,0,1,1
306.635,307.145,307.985,0.840000000000032,F1,3,0,0,3,0,1
315.09,316.05,317.105,1.05500000000001,F1,1,0,1,0,1,0
324.23,326.285,326.97,0.685000000000002,F1,2,1,1,0,1,1
334.095,335.01,336.03,1.01999999999998,F1,3,0,0,3,0,1
343.135,348.32,349.435,1.11500000000001,F1,1,0,1,0,1,0
356.56,357.22,357.805,0.58499999999998,F1,2,1,1,0,1,1
364.93,365.56,366.31,0.75,F1,3,0,0,3,0,1
373.415,374.565,375.16,0.595000000000027,F1,1,0,0,3,0,1
382.265,387.175,387.635,0.45999999999998,F1,1,0,1,0,1,0
394.76,395.58,396.2,0.620000000000005,F1,2,1,1,0,1,1
403.325,404.03,404.585,0.555000000000007,F1,3,0,1,0,1,0
411.71,412.285,412.855,0.569999999999993,F1,4,1,1,0,1,1
419.98,421.82,422.145,0.324999999999989,F1,5,0,1,0,1,0
429.27,429.61,430.955,1.34499999999997,L2,1,0,1,0,0,1
438.08,438.69,439.455,0.764999999999986,L2,2,1,1,0,1,1
446.58,447.255,450.26,3.005,L2,3,1,0,2,NaN,NaN
457.265,459.255,459.865,0.610000000000014,L2,1,0,1,0,0,1
466.99,467.435,468.085,0.649999999999977,L2,2,1,1,0,1,1
475.21,475.81,476.48,0.670000000000016,L2,3,1,1,0,1,1
483.605,485.2,485.755,0.555000000000007,L2,4,0,1,0,0,1
492.88,497.135,497.885,0.75,L2,5,0,1,0,0,1
505.01,506.275,506.89,0.615000000000009,R2,1,1,0,0,1,1
513.995,514.07,514.71,0.639999999999986,R2,1,1,0,1,1,1
521.815,526.98,527.62,0.639999999999986,R2,1,1,0,1,1,1
534.725,549.645,551.035,1.38999999999999,R2,1,1,0,1,1,1
558.14,562.535,563.49,0.955000000000041,R2,1,1,0,1,1,1
570.595,574.795,576.415,1.62,R2,1,1,0,1,1,1
583.52,587.615,588.13,0.514999999999986,R2,1,1,0,1,1,1
595.235,599.075,600.475,1.39999999999998,R2,1,1,0,1,1,1
607.58,609.73,610.26,0.529999999999973,R2,1,1,0,1,1,1
617.365,619.535,619.95,0.415000000000077,R2,1,1,1,0,0,0
627.075,627.645,628.47,0.825000000000045,R2,2,1,0,2,1,1
635.575,638.425,638.965,0.540000000000077,R2,1,1,0,2,1,1
646.07,649.33,650.64,1.30999999999995,R2,1,1,0,2,1,1
657.745,659.495,660.04,0.544999999999959,R2,1,1,0,2,1,1
667.145,667.815,668.495,0.67999999999995,R2,1,1,0,2,1,1
675.6,680.885,682.1,1.21500000000003,R2,1,1,1,0,0,0
689.225,691.875,692.61,0.735000000000014,R2,2,1,0,2,1,1
699.715,700.295,701.055,0.759999999999991,R2,1,1,0,2,1,1
708.16,708.52,709.5,0.980000000000018,R2,1,1,0,2,1,1
716.605,717.37,718,0.629999999999995,R2,1,1,0,2,1,1
725.105,726.135,727.35,1.21500000000003,R2,1,1,1,0,0,0
734.475,734.645,735.205,0.560000000000059,R2,2,1,1,0,0,0
742.33,742.765,743.5,0.735000000000014,R2,3,0,1,0,0,1
750.625,751.33,753.155,1.82499999999993,R2,4,0,0,2,1,0
760.26,760.625,761.355,0.730000000000018,R2,1,1,1,0,0,0
768.48,769.895,770.765,0.870000000000005,R2,2,1,1,0,0,0
777.89,786.585,787.43,0.844999999999914,R2,3,0,1,0,0,1
794.555,794.955,796.51,1.55499999999995,R2,4,0,0,2,1,0
803.615,804.17,805.085,0.915000000000077,R2,1,1,0,2,1,1
812.19,812.515,814.48,1.96500000000003,R2,1,1,0,2,1,1
821.585,823.13,824.325,1.19500000000005,R2,1,1,0,2,1,1
831.43,832.095,833.61,1.51499999999999,R2,1,1,0,2,1,1
840.715,844.845,846.125,1.27999999999997,R2,1,1,1,0,0,0
853.25,853.92,854.5,0.580000000000041,R2,2,1,1,0,0,0
861.625,862.575,863.42,0.844999999999914,R2,3,0,1,0,0,1
870.545,871.88,872.475,0.595000000000027,R2,4,0,1,0,0,1
879.6,881.515,882.225,0.710000000000036,R2,5,1,1,0,0,0
889.35,892.935,893.66,0.725000000000023,L3,1,1,1,0,1,1
900.785,904.375,905.34,0.965000000000032,L3,2,1,0,1,0,0
912.445,918.03,919.125,1.09500000000003,L3,1,1,1,0,1,1
926.25,926.29,926.92,0.629999999999995,L3,2,1,1,0,1,1
934.045,934.31,935.165,0.855000000000018,L3,3,0,1,0,0,1
942.29,942.87,943.95,1.08000000000004,L3,4,1,1,0,1,1
951.075,951.22,952.04,0.819999999999936,L3,5,0,1,0,0,1
959.165,959.94,960.59,0.649999999999977,F2,1,0,0,0,0,1
967.695,972.05,973.47,1.42000000000007,F2,1,0,1,0,1,0
980.595,981.84,982.57,0.730000000000018,F2,2,1,1,0,1,1
989.695,990.105,990.775,0.669999999999959,F2,3,0,0,2,0,1
997.88,999.8,1000.53,0.730000000000018,F2,1,0,1,0,1,0
1007.655,1008.935,1009.54,0.605000000000018,F2,2,1,1,0,1,1
1016.665,1017.105,1017.535,0.42999999999995,F2,3,0,1,0,1,0
1024.66,1029.5,1030.745,1.24499999999989,F2,4,1,1,0,1,1
1037.87,1046.625,1047.325,0.700000000000045,F2,5,1,1,0,1,1
1054.45,1055.09,1055.96,0.870000000000118,L4,1,0,1,0,0,1
1063.085,1063.855,1065.775,1.92000000000007,L4,2,1,0,1,0,0
1072.88,1075.47,1076.58,1.1099999999999,L4,1,0,0,1,1,0
1083.685,1104.025,1104.87,0.8449999999998,L4,1,0,1,0,0,1
1111.995,1115.015,1115.64,0.625,L4,2,1,1,0,1,1
1122.765,1123.36,1124.125,0.7650000000001,L4,3,1,1,0,1,1
1131.25,1131.735,1132.26,0.525000000000091,L4,4,0,0,2,1,0
1139.365,1139.66,1140.245,0.584999999999809,L4,1,0,1,0,0,1
1147.37,1148.01,1148.925,0.914999999999964,L4,2,1,1,0,1,1
1156.05,1156.675,1157.345,0.670000000000073,L4,3,1,1,0,1,1
1164.47,1164.735,1165.325,0.590000000000146,L4,4,0,1,0,0,1
1172.45,1176.835,1177.785,0.950000000000045,L4,5,0,1,0,0,1
