cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
113.965,116.95,117.865,0.914999999999992,L2,1,0,1,0,0,1
124.99,125.85,126.56,0.710000000000008,L2,2,1,0,1,0,0
133.665,134.34,135.06,0.719999999999999,L2,1,0,1,0,0,1
142.185,144.935,145.525,0.590000000000003,L2,2,1,1,0,1,1
152.65,152.915,153.35,0.435000000000002,L2,3,1,1,0,1,1
160.475,161.04,161.43,0.390000000000015,L2,4,0,1,0,0,1
168.555,169.17,169.61,0.440000000000026,L2,5,0,1,0,0,1
176.735,179.725,180.3,0.575000000000017,R2,1,1,0,0,1,1
187.405,188.26,191.265,3.005,R2,1,1,0,1,NaN,NaN
198.27,198.97,199.64,0.669999999999987,R2,1,1,0,1,1,1
206.745,207.69,208.105,0.414999999999992,R2,1,1,1,0,0,0
215.23,216.05,216.705,0.655000000000001,R2,2,1,0,2,1,1
223.81,226.17,226.645,0.475000000000023,R2,1,1,0,2,1,1
233.75,234.68,235.14,0.45999999999998,R2,1,1,1,0,0,0
242.265,243.345,243.815,0.469999999999999,R2,2,1,1,0,0,0
250.94,256.19,256.7,0.509999999999991,R2,3,0,1,0,0,1
263.825,264.995,265.38,0.384999999999991,R2,4,0,1,0,0,1
272.505,273.04,273.765,0.724999999999966,R2,5,1,0,3,1,1
280.87,283.73,285.345,1.61500000000001,R2,1,1,0,3,1,1
292.45,304.565,305.14,0.574999999999989,R2,1,1,1,0,0,0
312.265,312.345,313.24,0.894999999999982,R2,2,1,0,3,1,1
320.345,329.345,329.915,0.569999999999993,R2,1,1,0,3,1,1
337.02,339.045,339.965,0.919999999999959,R2,1,1,0,3,1,1
347.07,349.545,349.995,0.449999999999989,R2,1,1,1,0,0,0
357.12,357.71,358.13,0.420000000000016,R2,2,1,1,0,0,0
365.255,369.875,370.29,0.41500000000002,R2,3,0,1,0,0,1
377.415,379.85,380.44,0.589999999999975,R2,4,0,1,0,0,1
387.565,395.64,396.31,0.670000000000016,R2,5,1,1,0,0,0
403.435,407.685,408.14,0.454999999999984,L3,1,1,0,0,0,0
415.245,419.705,420.555,0.850000000000023,L3,1,1,1,0,1,1
427.68,428.26,428.97,0.710000000000036,L3,2,1,1,0,1,1
436.095,437.1,437.855,0.754999999999995,L3,3,0,1,0,0,1
444.98,445.97,446.615,0.644999999999982,L3,4,1,0,2,0,0
453.72,459.055,459.85,0.795000000000016,L3,1,1,1,0,1,1
466.975,467.79,468.74,0.949999999999989,L3,2,1,1,0,1,1
475.865,476.87,477.945,1.07499999999999,L3,3,0,1,0,0,1
485.07,485.215,485.86,0.645000000000039,L3,4,1,1,0,1,1
492.985,494.89,495.38,0.490000000000009,L3,5,0,1,0,0,1
502.505,503.07,503.94,0.870000000000005,F2,1,0,0,0,0,1
511.045,512.735,514.105,1.37,F2,1,0,1,0,1,0
521.23,522.375,523.375,1,F2,2,1,1,0,1,1
530.5,537.195,538.455,1.25999999999999,F2,3,0,1,0,1,0
545.58,552.925,553.97,1.04500000000007,F2,4,1,0,2,0,0
561.075,568.99,570.73,1.74000000000001,F2,1,0,0,2,0,1
577.835,578.025,578.615,0.590000000000032,F2,1,0,0,2,0,1
585.72,586.685,587.62,0.935000000000059,F2,1,0,0,2,0,1
594.725,602.525,603.285,0.759999999999991,F2,1,0,0,2,0,1
610.39,614.16,614.745,0.585000000000036,F2,1,0,0,2,0,1
621.85,624.01,625.415,1.40499999999997,F2,1,0,1,0,1,0
632.54,633.35,633.925,0.574999999999932,F2,2,1,1,0,1,1
641.05,641.54,642.22,0.680000000000064,F2,3,0,1,0,1,0
649.345,657.545,658.695,1.15000000000009,F2,4,1,1,0,1,1
665.82,671.22,671.95,0.730000000000018,F2,5,1,1,0,1,1
679.075,681.975,682.58,0.605000000000018,L4,1,0,0,0,1,0
689.685,690.37,691.975,1.60500000000002,L4,1,0,1,0,0,1
699.1,701.105,702.1,0.995000000000005,L4,2,1,0,2,0,0
709.205,713.265,714.85,1.58500000000004,L4,1,0,1,0,0,1
721.975,722.93,723.76,0.830000000000041,L4,2,1,1,0,1,1
730.885,732.005,732.88,0.875,L4,3,1,1,0,1,1
740.005,746.935,747.805,0.870000000000005,L4,4,0,0,2,1,0
754.91,762.585,763.48,0.894999999999982,L4,1,0,1,0,0,1
770.605,774.88,776.445,1.56500000000005,L4,2,1,1,0,1,1
783.57,785.555,787.21,1.65500000000009,L4,3,1,1,0,1,1
794.335,800.325,801.6,1.27499999999998,L4,4,0,1,0,0,1
808.725,810.595,811.79,1.19499999999994,L4,5,0,1,0,0,1
818.915,820.055,821.025,0.970000000000027,R1,1,1,0,0,1,1
828.13,838.795,840.06,1.26499999999999,R1,1,1,1,0,0,0
847.185,849.025,849.665,0.639999999999986,R1,2,0,1,0,0,1
856.79,857.26,858.39,1.13,R1,3,1,0,2,1,1
865.495,878.185,878.735,0.550000000000068,R1,1,1,1,0,0,0
885.86,886.635,887.18,0.544999999999959,R1,2,0,1,0,0,1
894.305,894.775,895.82,1.04500000000007,R1,3,1,0,2,1,1
902.925,905.955,906.805,0.849999999999909,R1,1,1,1,0,0,0
913.93,916.095,917.25,1.15499999999997,R1,2,0,1,0,0,1
924.375,927.11,927.945,0.835000000000036,R1,3,1,1,0,0,0
935.07,936.07,937.21,1.13999999999999,R1,4,0,0,2,1,0
944.315,957.835,959.295,1.45999999999992,R1,1,1,1,0,0,0
966.42,976.09,977.04,0.949999999999932,R1,2,0,1,0,0,1
984.165,986.855,987.875,1.01999999999998,R1,3,1,1,0,0,0
995,997.94,998.475,0.534999999999968,R1,4,0,1,0,0,1
1005.6,1006.595,1007.19,0.595000000000027,R1,5,0,1,0,0,1
1014.315,1015.535,1016.375,0.840000000000032,L1,1,1,0,0,0,0
1023.48,1025.055,1026.525,1.47000000000003,L1,1,1,0,1,0,0
1033.63,1049.72,1050.585,0.865000000000009,L1,1,1,0,1,0,0
1057.69,1060.1,1061.06,0.960000000000036,L1,1,1,0,1,0,0
1068.165,1072.235,1073.22,0.985000000000127,L1,1,1,0,1,0,0
1080.325,1084.925,1085.645,0.720000000000027,L1,1,1,1,0,1,1
1092.77,1093.775,1094.425,0.649999999999864,L1,2,0,1,0,0,1
1101.55,1102.07,1102.895,0.825000000000045,L1,3,1,1,0,1,1
1110.02,1110.285,1111.255,0.970000000000027,L1,4,1,1,0,1,1
1118.38,1119.045,1119.61,0.564999999999827,L1,5,0,0,2,1,0
1126.635,1132.885,1134.15,1.2650000000001,L1,1,1,1,0,1,1
1141.275,1143.415,1144.54,1.125,L1,2,0,1,0,0,1
1151.665,1153.36,1154.185,0.825000000000045,L1,3,1,0,2,0,0
1161.29,1166.46,1168.205,1.74499999999989,L1,1,1,1,0,1,1
1175.33,1176.695,1177.935,1.24000000000001,L1,2,0,0,2,1,0
1185.04,1187.91,1188.87,0.959999999999809,L1,1,1,1,0,1,1
1195.995,1196.455,1197.055,0.600000000000136,L1,2,0,1,0,0,1
1204.18,1204.725,1205.295,0.570000000000164,L1,3,1,1,0,1,1
1212.42,1212.915,1213.66,0.745000000000118,L1,4,1,1,0,1,1
1220.785,1223.3,1223.84,0.539999999999964,L1,5,0,1,0,0,1
1230.965,1231.49,1232.525,1.03500000000008,F1,1,0,0,0,0,1
1239.63,1242.69,1243.525,0.835000000000036,F1,1,0,1,0,1,0
1250.65,1251.035,1251.925,0.889999999999873,F1,2,1,1,0,1,1
1259.05,1261.455,1262.75,1.29500000000007,F1,3,0,0,2,0,1
1269.855,1272.04,1273.035,0.995000000000118,F1,1,0,1,0,1,0
1280.16,1281.195,1281.755,0.560000000000173,F1,2,1,1,0,1,1
1288.88,1289.77,1290.33,0.559999999999945,F1,3,0,1,0,1,0
1297.455,1298.445,1299.02,0.575000000000045,F1,4,1,1,0,1,1
1306.145,1306.415,1307.42,1.00500000000011,F1,5,0,1,0,1,0
