cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
105.28,107.56,107.96,0.399999999999991,L2,1,0,0,0,1,0
115.06,115.16,115.54,0.38000000000001,L2,1,0,1,0,0,1
122.66,123.82,124.24,0.420000000000002,L2,2,1,1,0,1,1
131.36,131.86,132.22,0.359999999999985,L2,3,1,1,0,1,1
139.34,139.64,140.08,0.440000000000026,L2,4,0,1,0,0,1
147.2,147.66,147.98,0.319999999999993,L2,5,0,1,0,0,1
155.1,156.72,157.1,0.379999999999995,R2,1,1,1,0,0,0
164.22,166.22,166.92,0.699999999999989,R2,2,1,1,0,0,0
174.04,178.44,179,0.560000000000002,R2,3,0,1,0,0,1
186.12,187.14,187.54,0.400000000000006,R2,4,0,1,0,0,1
194.66,194.86,195.22,0.359999999999985,R2,5,1,0,2,1,1
202.32,204.6,205.04,0.439999999999998,R2,1,1,0,2,1,1
212.14,215.6,215.92,0.319999999999993,R2,1,1,1,0,0,0
223.04,224.5,224.82,0.319999999999993,R2,2,1,0,2,1,1
231.92,232.36,232.88,0.519999999999982,R2,1,1,0,2,1,1
239.98,241.38,241.74,0.360000000000014,R2,1,1,0,2,1,1
248.84,250.74,251.04,0.299999999999983,R2,1,1,0,2,1,1
258.14,258.26,258.84,0.579999999999984,R2,1,1,0,2,1,1
265.94,269.04,270.08,1.03999999999996,R2,1,1,1,0,0,0
277.2,278.4,278.8,0.400000000000034,R2,2,1,0,2,1,1
285.9,286.72,287.32,0.599999999999966,R2,1,1,0,2,1,1
294.42,295.28,295.82,0.54000000000002,R2,1,1,0,2,1,1
302.92,303.4,304.16,0.760000000000048,R2,1,1,0,2,1,1
311.26,321.82,322.3,0.480000000000018,R2,1,1,1,0,0,0
329.42,330.36,330.74,0.379999999999995,R2,2,1,0,2,1,1
337.84,338.9,339.22,0.32000000000005,R2,1,1,0,2,1,1
346.32,347.92,348.72,0.800000000000011,R2,1,1,1,0,0,0
355.84,359.66,360.02,0.359999999999957,R2,2,1,0,2,1,1
367.12,368.6,369.2,0.599999999999966,R2,1,1,0,2,1,1
376.3,384.98,385.52,0.539999999999964,R2,1,1,1,0,0,0
392.64,392.7,393.22,0.520000000000039,R2,2,1,0,2,1,1
400.32,402.7,403.4,0.699999999999989,R2,1,1,1,0,0,0
410.52,412,412.78,0.779999999999973,R2,2,1,1,0,0,0
419.9,420.18,420.62,0.439999999999998,R2,3,0,1,0,0,1
427.74,428.42,428.86,0.439999999999998,R2,4,0,1,0,0,1
435.98,438.68,439.38,0.699999999999989,R2,5,1,0,3,1,1
446.48,446.94,447.76,0.819999999999993,R2,1,1,1,0,0,0
454.88,455.1,455.52,0.419999999999959,R2,2,1,0,3,1,1
462.62,463.96,464.34,0.379999999999995,R2,1,1,1,0,0,0
471.46,475.38,476.1,0.720000000000027,R2,2,1,1,0,0,0
483.22,483.88,484.38,0.5,R2,3,0,1,0,0,1
491.5,492.1,492.58,0.479999999999961,R2,4,0,1,0,0,1
499.7,501.02,501.52,0.5,R2,5,1,0,3,1,1
508.62,510.96,511.52,0.560000000000002,R2,1,1,1,0,0,0
518.64,518.72,519.28,0.559999999999945,R2,2,1,1,0,0,0
526.4,526.94,527.38,0.439999999999941,R2,3,0,0,3,1,0
534.48,534.66,535.32,0.660000000000082,R2,1,1,0,3,1,1
542.42,544.44,545.06,0.619999999999891,R2,1,1,0,3,1,1
552.16,557.38,557.9,0.519999999999982,R2,1,1,0,3,1,1
565,565.72,566.2,0.480000000000018,R2,1,1,0,3,1,1
573.3,576.22,576.62,0.399999999999977,R2,1,1,0,3,1,1
583.72,586.18,586.6,0.420000000000073,R2,1,1,0,3,1,1
593.7,594.2,594.86,0.659999999999968,R2,1,1,1,0,0,0
601.98,604.54,604.88,0.340000000000032,R2,2,1,1,0,0,0
612,612.68,613.26,0.580000000000041,R2,3,0,1,0,0,1
620.38,621.46,622,0.539999999999964,R2,4,0,1,0,0,1
629.12,629.72,630.1,0.379999999999995,R2,5,1,0,3,1,1
637.2,637.6,638.02,0.419999999999959,R2,1,1,0,3,1,1
645.12,647.82,648.64,0.819999999999936,R2,1,1,1,0,0,0
655.76,656.4,656.94,0.540000000000077,R2,2,1,0,3,1,1
664.04,664.06,664.7,0.6400000000001,R2,1,1,0,3,1,1
671.8,672.82,673.2,0.379999999999995,R2,1,1,1,0,0,0
680.32,680.58,681.54,0.959999999999923,R2,2,1,0,3,1,1
688.64,690.64,691.32,0.680000000000064,R2,1,1,0,3,1,1
698.42,700.14,700.8,0.659999999999968,R2,1,1,1,0,0,0
707.92,712.44,712.98,0.539999999999964,R2,2,1,1,0,0,0
720.1,720.92,721.32,0.400000000000091,R2,3,0,1,0,0,1
728.44,728.8,729.24,0.440000000000055,R2,4,0,1,0,0,1
736.36,736.88,737.54,0.659999999999968,R2,5,1,1,0,0,0
744.66,746.04,747.54,1.5,L3,1,1,0,0,0,0
754.64,758.12,759,0.879999999999995,L3,1,1,0,1,0,0
766.1,768.26,768.64,0.379999999999995,L3,1,1,0,1,0,0
