entryTime,exitTime,location,phase,taskTrial
124.26,124.4,3,0,0
124.76,124.96,2,0,0
134.34,134.46,1,1,1
134.7,135.14,3,1,1
135.42,135.88,1,2,1
136.14,136.5,3,0,0
136.94,137.18,2,0,0
143.38,144.28,3,1,2
144.62,144.68,1,2,2
145.4,146.14,3,0,0
146.42,146.44,2,0,0
146.44,146.64,2,0,0
150.96,151.12,3,0,0
151.48,151.72,2,0,0
152,152.34,3,1,3
152.56,152.82,2,2,3
159.3,159.92,1,0,0
160.18,160.48,3,1,4
160.76,161.5,1,2,4
170.36,170.74,2,1,5
170.98,171.14,3,1,5
171.44,171.72,2,2,5
176.58,176.96,3,0,0
177.36,177.7,2,0,0
178.02,179.38,3,0,0
182.16,183.48,3,1,6
184.4,184.44,3,2,6
184.76,185.04,2,2,6
191.18,191.26,1,0,0
191.62,192.5,3,0,0
192.68,192.86,3,1,7
193.12,193.26,1,2,7
201.52,201.6,3,1,8
202.08,202.76,1,2,8
203,203.18,3,0,0
203.54,203.78,2,0,0
204.34,204.94,3,0,0
209.74,209.84,3,1,9
210.2,210.76,1,2,9
211.2,211.42,3,0,0
211.56,211.88,3,0,0
212.2,212.46,2,0,0
218.36,218.94,3,1,10
219.38,219.54,2,2,10
226.26,227.42,3,0,0
227.74,228.08,3,1,11
228.36,228.6,2,2,11
235.02,235.24,1,0,0
235.52,235.8,3,1,12
236.06,236.44,1,2,12
240.64,240.92,3,0,0
241.18,241.52,1,0,0
241.76,241.84,3,0,0
242.12,242.4,2,0,0
248.84,249.14,3,1,13
249.54,249.58,1,2,13
249.62,249.68,1,0,0
249.98,250.16,1,0,0
250.68,250.84,3,0,0
251.12,251.52,3,0,0
251.78,252,2,0,0
263.22,263.36,2,1,14
265.26,266.08,2,1,14
266.4,267.34,3,1,14
267.62,267.92,2,2,14
272.76,273.8,3,0,0
274.38,274.54,2,0,0
275.52,275.8,3,1,15
276.08,276.28,2,2,15
283.3,283.98,3,1,16
284.38,284.46,1,2,16
289.68,289.78,3,0,0
290.14,290.64,2,0,0
290.92,291.32,3,0,0
291.6,292.1,2,1,17
292.36,293.24,3,1,17
293.56,293.72,1,2,17
294.64,294.9,2,0,0
303.58,303.7,3,1,18
304.12,304.38,2,2,18
307.84,307.9,3,0,0
308.08,309.76,3,0,0
310.16,310.26,2,0,0
310.72,311.36,3,0,0
311.36,311.64,3,1,19
311.9,312.08,2,2,19
317.22,318.08,2,0,0
318.5,318.9,2,0,0
319.2,319.66,3,1,20
319.92,320.24,2,2,20
325.64,326.64,3,0,0
326.94,327.02,2,0,0
327.58,328.1,3,1,21
328.36,328.56,2,2,21
333.62,334.1,3,0,0
334.62,334.82,2,0,0
335.32,335.42,3,0,0
336.02,336.44,3,1,22
336.72,336.9,1,2,22
352.8,352.84,2,1,23
353.6,354.2,3,1,23
354.54,354.64,1,2,23
355.66,355.88,3,0,0
356.24,357.94,2,0,0
360.8,362.08,3,0,0
362.4,362.58,2,1,24
363.74,364,3,1,24
364.28,364.34,1,2,24
367.74,367.8,2,0,0
367.88,368.06,2,0,0
371.24,372.58,2,0,0
372.86,373.56,3,1,25
373.9,374.06,2,2,25
379.9,380.96,3,0,0
381.6,381.74,3,1,26
382.44,382.92,2,2,26
390.18,390.36,3,1,27
390.68,390.8,2,2,27
398.14,398.34,3,1,28
398.7,398.9,2,2,28
408.14,408.94,2,1,29
409.48,409.5,3,1,29
412.64,412.94,1,0,0
413.3,413.56,3,0,0
413.92,414.18,3,0,0
420.36,420.5,3,1,30
421.72,422.62,1,2,30
422.96,424,3,0,0
424.34,424.56,2,0,0
426.66,427.54,3,0,0
427.86,427.92,2,0,0
427.96,428.04,2,0,0
429.56,429.98,3,1,31
430.24,430.52,2,2,31
434.44,434.52,3,0,0
434.82,435.54,3,0,0
436.04,436.26,3,0,0
436.66,436.9,2,0,0
436.96,437.06,2,0,0
437.68,438.6,3,1,32
439,439.22,1,2,32
439.98,440.28,2,0,0
447.1,447.42,3,1,33
447.72,447.98,1,2,33
448.5,449.12,3,0,0
449.48,449.66,2,0,0
456.44,457.3,3,1,34
458.16,458.62,1,2,34
458.84,459.08,3,0,0
459.38,459.88,2,0,0
460.26,460.4,3,0,0
460.66,461.36,3,0,0
461.6,461.88,2,0,0
464.48,464.64,1,0,0
471.32,471.48,2,1,35
472.06,472.8,3,1,35
473.14,473.32,2,2,35
478.48,478.54,2,0,0
478.56,478.7,2,0,0
478.76,478.78,2,0,0
480.6,480.7,3,1,36
480.94,481.12,2,2,36
488.08,488.16,2,1,37
490.08,490.18,2,1,37
490.2,490.26,2,1,37
491.7,492.22,3,1,37
492.58,492.7,1,2,37
501.32,501.52,3,1,38
501.86,502.1,2,2,38
508.06,508.18,3,0,0
509.8,509.96,3,1,39
510.2,510.42,2,2,39
516.18,516.22,3,0,0
516.56,517.2,2,0,0
518.14,518.28,3,1,40
518.52,518.92,2,2,40
523.56,523.72,3,0,0
523.92,524.04,3,0,0
524.04,524.36,3,0,0
524.42,524.44,3,0,0
524.68,524.74,3,0,0
525.5,526.34,3,0,0
526.38,526.64,3,1,41
527.02,527.16,2,2,41
532.38,532.54,3,0,0
533.06,533.9,3,0,0
534.18,534.62,2,1,42
534.96,535.48,3,1,42
535.86,535.88,1,2,42
535.92,535.96,1,0,0
542.36,542.6,3,0,0
542.78,542.94,3,0,0
543.32,543.58,3,1,43
543.92,544.1,1,2,43
545.9,546.14,3,0,0
546.56,546.66,2,0,0
552.46,553.46,3,1,44
553.82,553.9,1,2,44
554.56,554.84,1,0,0
555.1,555.72,3,0,0
556,556.24,2,0,0
562.18,562.36,3,1,45
563.66,563.72,1,2,45
564.46,567.5,3,0,0
567.78,568.16,2,0,0
571.08,571.86,3,1,46
572.48,573.18,1,2,46
577.02,578.08,2,0,0
578.46,578.56,3,0,0
579.26,579.46,2,0,0
580.86,581.6,3,1,47
581.9,582.04,2,2,47
587.58,587.68,2,0,0
590.18,590.34,2,1,48
590.36,590.7,2,1,48
591.04,591.52,3,1,48
591.78,592.24,2,2,48
598.42,598.76,3,0,0
598.8,598.88,3,0,0
599.5,599.68,3,1,49
600.04,600.22,1,2,49
600.96,601.12,3,0,0
601.72,601.78,2,0,0
609.04,609.16,3,1,50
609.34,609.4,3,2,50
610.5,610.56,1,2,50
610.58,610.64,1,0,0
611.2,611.34,3,0,0
611.98,612.14,2,0,0
613.88,614.08,2,0,0
615.14,615.82,2,0,0
618.52,620.06,3,1,51
620.46,620.5,1,2,51
623.22,624.46,3,0,0
624.78,625.14,1,0,0
625.6,625.74,3,0,0
626.14,626.2,2,0,0
626.22,626.7,2,0,0
627.24,627.32,2,0,0
627.7,628.24,3,1,52
628.52,628.66,1,2,52
641.2,641.4,2,1,53
641.48,641.5,2,1,53
641.54,642.12,2,1,53
642.4,642.48,2,1,53
643.5,644.7,3,1,53
645.14,645.28,2,2,53
650.74,650.8,2,0,0
653.42,654.06,2,1,54
654.46,654.8,3,1,54
655.1,655.44,2,2,54
663.86,664.1,2,1,55
664.2,664.24,2,1,55
667.92,668.6,3,1,55
668.96,669.6,1,2,55
681.38,681.9,2,1,56
682.16,683.72,3,1,56
684.06,684.22,2,2,56
694.02,694.06,3,1,57
694.1,694.22,3,2,57
694.62,694.84,2,2,57
699.46,699.66,2,0,0
700.4,700.48,3,0,0
701.86,702.46,2,1,58
702.86,703.92,3,1,58
704.32,704.42,2,2,58
709.18,709.24,2,0,0
712.56,712.94,3,1,59
713.26,713.32,2,2,59
713.36,713.54,2,0,0
718.48,718.58,3,0,0
718.64,718.66,3,0,0
719.92,720.14,3,0,0
721.72,721.8,2,1,60
722.42,723.22,3,1,60
723.62,723.78,1,2,60
733.6,733.98,2,1,61
734.38,735.78,3,1,61
736.2,736.44,2,2,61
743.86,744.1,3,1,62
744.38,744.54,2,2,62
750.18,750.64,2,0,0
753.02,753.08,2,1,63
753.5,753.72,3,1,63
754.32,754.7,2,2,63
765.68,766.18,2,1,64
767.62,767.8,3,1,64
768.08,768.74,2,2,64
775.34,776.04,3,1,65
776.54,776.94,1,2,65
777.38,778.96,3,0,0
779.04,779.42,3,0,0
779.48,779.62,3,0,0
779.64,779.82,3,0,0
779.84,779.94,3,0,0
780.14,780.26,3,0,0
780.76,780.8,3,0,0
780.98,781.12,3,0,0
782.94,783.84,2,0,0
785.04,785.48,3,1,66
785.76,785.96,1,2,66
787.02,787.12,2,0,0
787.18,787.2,2,0,0
787.4,787.42,2,0,0
793.18,794.66,2,1,67
796.1,796.34,3,1,67
796.64,796.92,2,2,67
805.74,805.84,3,1,68
806.1,806.26,2,2,68
812,812.08,2,0,0
813.52,814.06,3,1,69
814.38,814.92,2,2,69
821.94,822.1,3,1,70
822.44,822.86,2,2,70
829.56,829.76,3,0,0
829.98,830.14,3,1,71
830.6,830.84,2,2,71
838.32,838.44,3,1,72
838.78,839.44,2,2,72
839.84,840.02,3,0,0
840.74,840.84,2,0,0
859.46,859.54,2,1,73
860.66,860.88,3,1,73
860.98,861,3,2,73
861.02,861.26,3,2,73
861.58,861.88,2,2,73
862.62,862.92,3,0,0
869.76,870.26,2,1,74
870.34,870.56,2,1,74
870.66,870.72,2,1,74
870.8,870.86,2,1,74
872.78,873.48,2,1,74
873.92,875.34,3,1,74
875.72,875.84,1,2,74
883.74,883.8,2,1,75
884.94,885.3,3,1,75
885.64,886.02,2,2,75
891.58,891.66,3,0,0
892,892.56,3,0,0
893.78,894,3,1,76
894.28,894.56,2,2,76
901.88,902.1,3,1,77
902.78,902.84,1,2,77
909.04,909.16,2,0,0
909.98,910.16,2,1,78
911.38,911.5,3,1,78
911.52,911.58,3,2,78
911.94,912.04,2,2,78
913.22,913.62,3,0,0
921.4,921.46,2,1,79
923.14,923.34,3,1,79
925.82,925.86,1,2,79
925.88,925.92,1,0,0
933.8,934.08,3,1,80
934.46,934.62,2,2,80
941.08,941.4,3,0,0
942.38,942.58,3,1,81
942.88,943.36,2,2,81
947.94,948.1,3,0,0
948.72,948.92,3,0,0
949.68,950.76,3,0,0
951.12,951.26,3,1,82
951.68,951.76,1,2,82
957.82,957.96,3,0,0
959.16,959.3,3,1,83
959.68,959.72,1,2,83
966.76,967.42,3,0,0
967.84,968.5,1,1,84
968.74,969.24,3,1,84
969.56,969.74,1,2,84
974.62,975.64,3,0,0
976.12,976.2,1,0,0
976.22,976.26,1,0,0
977.52,977.76,3,1,85
978.12,978.68,2,2,85
982.14,982.34,1,0,0
983.14,983.3,3,0,0
983.5,983.56,3,0,0
983.62,984.52,3,0,0
984.92,985.54,1,0,0
985.82,986.14,3,1,86
986.46,987.32,2,2,86
987.72,987.74,3,0,0
987.74,987.8,3,0,0
988.86,989.12,3,0,0
992.98,994.2,2,0,0
997.02,997.5,3,1,87
997.8,998.34,2,2,87
1000.22,1000.3,1,0,0
1006.54,1006.66,2,1,88
1009.26,1009.3,1,1,88
1009.3,1009.38,1,1,88
1016.22,1016.94,3,1,88
1017.3,1017.36,1,2,88
1023.3,1023.52,2,0,0
1024.04,1025.04,3,0,0
1025.44,1025.48,2,1,89
1025.84,1025.92,3,1,89
1026.34,1026.4,1,2,89
1032.44,1032.64,1,0,0
1033.24,1033.28,3,0,0
1034.74,1035.18,1,1,90
1039.9,1039.96,2,1,90
1040.26,1040.38,3,1,90
1040.78,1040.92,1,2,90
1045.9,1046.06,1,0,0
1048.02,1048.3,1,1,91
1048.6,1048.98,3,1,91
1049.22,1049.48,1,2,91
1056.46,1056.64,3,1,92
1058.12,1058.96,2,2,92
1065.2,1065.28,3,0,0
1066.42,1066.72,3,1,93
1067.06,1067.2,1,2,93
1075.08,1075.24,3,1,94
1075.62,1075.68,2,2,94
1076.5,1076.58,3,0,0
1077.2,1077.36,1,0,0
1079.1,1079.62,3,0,0
1079.94,1080.1,1,0,0
1083.42,1084.08,3,1,95
1084.44,1084.56,1,2,95
1090.34,1090.6,1,0,0
1090.9,1091.02,3,0,0
1091.14,1091.18,3,0,0
1091.64,1092.04,1,1,96
1092.3,1093.94,3,1,96
1094.22,1094.46,1,2,96
1099.74,1100.44,3,0,0
1100.8,1100.9,1,0,0
1101.46,1101.96,3,1,97
1102.22,1102.3,1,2,97
1110.98,1111.72,3,1,98
1112.14,1112.24,1,2,98
1127.22,1127.86,1,1,99
1128.14,1128.56,3,1,99
1136.34,1137.16,3,0,0
1137.44,1137.62,1,0,0
1138.2,1138.64,3,1,100
1138.98,1139.18,2,2,100
1147.5,1147.78,3,1,101
1148.64,1149.04,1,2,101
1153.72,1153.76,2,0,0
1154.84,1155.76,3,0,0
1156.3,1156.34,1,1,102
1156.92,1157.1,3,1,102
1157.52,1157.9,2,2,102
1158.2,1158.68,3,0,0
1159.08,1159.26,1,0,0
1159.92,1160.18,3,0,0
1162.24,1162.32,1,0,0
1167.06,1167.12,3,1,103
1167.42,1167.72,1,2,103
1174.5,1174.6,3,0,0
1175.3,1175.76,1,1,104
1176.04,1176.68,3,1,104
1176.92,1177.22,1,2,104
1185.64,1185.76,3,1,105
1186.1,1186.42,1,2,105
1194.56,1195.24,1,1,106
1195.28,1195.34,1,1,106
1195.64,1196.22,3,1,106
1196.54,1196.62,1,2,106
1207.84,1208.26,1,1,107
1209.12,1209.38,1,1,107
1214.06,1214.86,3,1,107
1215.18,1215.3,1,2,107
1222.94,1223.28,1,1,108
1223.62,1224.14,3,1,108
1224.44,1224.88,1,2,108
1225.28,1225.5,3,0,0
1226.34,1226.38,2,0,0
1226.42,1227,2,0,0
1231.32,1231.88,1,0,0
1232.2,1232.5,3,1,109
1232.56,1232.72,3,2,109
1232.74,1233.24,3,2,109
1233.56,1234.56,1,2,109
1234.84,1235.9,3,0,0
1236.3,1236.54,2,0,0
1239.24,1240.06,2,0,0
1240.4,1240.64,3,0,0
1241,1241.04,2,1,110
1241.06,1241.24,2,1,110
1241.6,1241.62,2,1,110
1242.04,1242.08,3,1,110
1242.5,1242.62,1,2,110
1243.34,1243.54,3,0,0
1243.88,1243.94,2,0,0
1251.5,1251.62,3,1,111
1252.98,1253.54,1,2,111
1253.58,1253.7,1,0,0
1257.42,1257.44,1,0,0
1259.14,1259.26,3,0,0
1259.64,1260.4,2,0,0
1260.7,1261.4,3,1,112
1261.7,1261.88,2,2,112
1268.76,1270.94,3,0,0
1271.32,1271.46,1,1,113
1271.96,1273.08,3,1,113
1273.48,1273.7,2,2,113
1281.32,1281.54,3,1,114
1281.92,1281.98,2,2,114
1282.74,1282.96,3,0,0
1284.54,1284.6,2,0,0
1285.94,1286.02,3,0,0
1287,1287.66,2,0,0
1292.14,1292.8,2,1,115
1294.3,1296.04,3,1,115
1297.44,1298.14,2,0,0
1315.6,1316.44,1,1,116
1316.62,1316.72,1,1,116
1317.14,1317.26,3,1,116
1317.68,1317.84,2,2,116
1323.22,1323.3,2,0,0
1324.24,1324.42,3,0,0
1324.84,1325.38,2,1,117
1325.42,1325.5,2,1,117
1325.86,1326.08,3,1,117
1326.42,1326.6,2,2,117
1332.36,1332.48,1,0,0
1332.84,1333.08,3,0,0
1333.14,1333.22,3,0,0
1333.46,1333.6,3,0,0
1334.06,1334.3,3,1,118
1334.6,1334.92,1,2,118
1342.78,1343.28,3,1,119
1343.32,1343.66,3,2,119
1343.92,1344.02,3,2,119
1344.14,1344.2,3,2,119
1344.78,1344.82,1,2,119
1344.84,1344.92,1,0,0
1349.72,1349.9,2,0,0
1350.76,1351.44,2,0,0
1351.72,1352.68,3,0,0
1352.88,1353.24,3,1,120
1353.56,1353.86,2,2,120
1360.76,1361.1,2,1,121
1361.28,1361.8,2,1,121
1362.36,1362.6,2,1,121
1363.06,1363.32,3,1,121
1363.48,1363.86,3,2,121
1363.9,1364.34,3,2,121
1364.48,1364.56,3,2,121
1364.94,1365.2,2,2,121
1373.08,1373.26,3,1,122
1373.66,1374.38,2,2,122
1377.42,1377.46,1,0,0
1383.44,1383.64,2,1,123
1383.7,1384.16,2,1,123
1385.3,1385.5,3,1,123
1387.28,1387.38,2,2,123
1394.68,1394.9,2,1,124
1396,1396.4,3,1,124
1396.7,1396.82,2,2,124
1402.06,1402.12,2,0,0
1402.12,1402.28,2,0,0
1402.64,1403.26,3,0,0
1403.6,1403.62,2,0,0
1403.66,1403.8,2,0,0
1403.88,1403.94,2,1,125
1404.94,1405.42,3,1,125
1405.86,1405.9,1,2,125
1405.94,1406.02,1,0,0
1413.6,1413.88,3,1,126
1415.1,1415.2,2,2,126
1422,1422.12,2,0,0
1422.7,1423.16,3,1,127
1423.6,1423.68,2,2,127
1424.68,1425.34,3,0,0
1426.8,1427.12,2,0,0
1430.52,1430.56,1,0,0
1434.24,1434.3,2,1,128
1434.34,1435.42,2,1,128
1435.76,1437.14,3,1,128
1437.52,1437.66,2,2,128
1443.8,1443.86,2,0,0
1444.62,1445.46,3,0,0
1445.76,1446.14,3,1,129
1446.52,1446.74,1,2,129
1447.82,1448,2,0,0
1450.58,1451.26,3,0,0
1451.58,1451.78,2,0,0
1459.72,1460.52,3,1,130
1460.86,1461.12,2,2,130
1465.46,1466.04,3,0,0
1466.24,1466.32,3,0,0
1466.46,1466.72,3,0,0
1466.76,1467.08,3,0,0
1468.76,1468.92,3,1,131
1469.26,1469.72,2,2,131
1476.62,1477.2,3,1,132
1477.6,1477.8,1,2,132
1484.02,1484.08,2,0,0
1484.14,1484.16,2,0,0
1485.36,1485.64,3,1,133
1486.02,1486.22,2,2,133
1491.86,1492.26,3,0,0
1494.42,1495.04,3,1,134
1495.4,1495.42,2,2,134
1506.52,1507.22,3,1,135
1507.64,1507.76,2,2,135
1517.78,1518.16,3,1,136
1518.58,1518.8,2,2,136
1523.98,1524.22,3,0,0
1524.98,1525.6,3,0,0
1526.02,1526.46,3,1,137
1527.62,1527.9,1,2,137
1536.38,1536.54,3,1,138
1536.96,1537.16,2,2,138
1543.22,1543.38,3,0,0
1545.7,1545.78,1,1,139
1549.78,1550.34,2,1,139
1550.68,1551.32,3,1,139
1551.74,1551.88,1,2,139
1558.9,1558.96,3,1,140
1559.4,1560.56,1,2,140
1560.86,1560.98,3,0,0
1561.38,1561.66,2,0,0
1566.54,1566.7,2,1,141
1567.7,1568.2,3,1,141
1568.56,1568.58,2,2,141
1577.32,1577.86,2,1,142
1578.22,1578.78,3,1,142
1579.12,1579.28,2,2,142
1586.58,1587.22,3,1,143
1587.56,1588.06,1,2,143
1588.52,1588.82,3,0,0
1588.86,1588.98,3,0,0
1589.2,1589.66,3,0,0
1590.06,1590.24,2,0,0
1590.24,1590.3,2,0,0
1592.28,1593.3,3,0,0
1593.66,1593.7,2,0,0
1593.7,1593.92,2,0,0
1598.82,1600.24,3,1,144
1600.28,1600.5,3,2,144
1600.74,1600.84,3,2,144
1601.02,1601.08,3,2,144
1601.12,1601.36,3,2,144
1601.54,1601.68,3,2,144
1601.9,1602.12,3,0,0
1602.64,1603.58,1,0,0
1605.68,1605.72,2,0,0
1606.54,1606.66,2,0,0
1607.88,1608.4,3,0,0
1609.24,1609.48,1,1,145
1609.8,1610.16,3,1,145
1610.48,1610.68,2,2,145
1616.28,1616.3,1,0,0
1616.72,1616.8,3,0,0
1618.96,1619.42,1,1,146
1619.68,1619.78,3,1,146
1620.22,1620.4,2,2,146
1627.54,1627.58,2,1,147
1628.34,1628.58,3,1,147
1629.08,1629.1,2,2,147
1629.14,1629.24,2,0,0
1636.28,1636.5,3,1,148
1636.76,1637.24,2,2,148
1643.28,1643.4,3,0,0
1644.2,1644.32,3,1,149
1644.62,1644.76,2,2,149
1649.22,1649.32,3,0,0
1650.3,1650.38,3,0,0
1650.82,1651.08,2,0,0
1652.02,1652.52,3,1,150
1652.86,1653,1,2,150
1658.62,1659.34,3,0,0
1660.94,1661.32,3,1,151
1661.64,1661.98,2,2,151
1669.34,1670.4,3,1,152
1670.9,1671,3,2,152
1671.48,1671.8,2,2,152
1677.76,1677.94,3,0,0
1678.44,1678.62,3,0,0
1678.98,1679.32,3,1,153
1679.7,1679.76,1,2,153
1689.1,1689.18,2,1,154
1690.14,1690.68,3,1,154
1691.08,1691.14,1,2,154
1696.96,1697.06,2,0,0
1698.74,1699.22,3,1,155
1699.54,1699.7,2,2,155
1699.76,1699.9,2,0,0
1699.92,1699.98,2,0,0
1701.56,1701.6,1,0,0
1701.6,1701.68,1,0,0
1706.82,1706.84,3,1,156
1706.88,1707.98,3,2,156
1708.02,1708.34,3,2,156
1708.42,1708.66,3,2,156
1709.04,1710.56,2,2,156
1710.92,1711.16,3,0,0
1711.42,1711.82,3,0,0
1713.8,1713.82,2,0,0
1716.74,1717.08,3,1,157
1717.5,1717.54,2,2,157
1717.58,1717.84,2,0,0
1718.8,1719,3,0,0
1720.78,1720.84,2,0,0
1720.84,1721.16,2,0,0
1721.94,1722.02,1,0,0
1727.1,1727.2,2,1,158
1728.24,1728.96,3,1,158
1729.32,1730.28,2,2,158
1731.08,1731.22,3,0,0
1732.92,1733.1,1,0,0
1738.32,1738.46,2,1,159
