entryTime,exitTime,location,phase,taskTrial
106.88,106.9,2,0,0
113.8,114,1,1,1
114.5,114.76,1,1,1
115,115.22,3,1,1
115.42,115.58,1,2,1
122.7,122.8,3,1,2
123.36,123.46,2,2,2
129.22,129.36,3,0,0
129.52,129.6,3,0,0
129.66,129.74,3,0,0
129.78,129.92,3,0,0
130.18,130.7,2,0,0
130.9,130.98,3,1,3
131.28,131.44,1,2,3
132.82,133.06,3,0,0
133.06,133.22,3,0,0
135.68,135.78,3,0,0
136.08,136.16,1,0,0
137.46,137.58,2,0,0
140.8,141.72,1,1,4
142.04,142.14,3,1,4
142.54,142.56,1,2,4
150.34,150.5,1,1,5
150.7,150.82,3,1,5
151.06,151.54,1,2,5
151.74,152.26,3,0,0
152.48,152.6,1,0,0
159.76,159.84,3,1,6
160.46,160.56,1,2,6
166.58,166.66,3,0,0
166.88,167.06,1,0,0
167.34,167.58,3,0,0
168.04,168.22,3,1,7
168.46,168.66,2,2,7
173.78,173.8,3,0,0
174.1,174.14,1,0,0
174.62,174.78,3,0,0
175.02,175.1,1,0,0
175.42,175.56,3,0,0
175.86,175.96,2,1,8
176.32,176.48,3,1,8
176.68,176.9,2,2,8
181.58,181.74,2,0,0
182.16,182.62,3,0,0
182.84,183.02,2,0,0
183.98,184.12,3,1,9
184.4,184.54,1,2,9
189.58,190.02,3,0,0
190.18,190.5,3,0,0
190.74,190.94,1,0,0
191.2,191.78,3,0,0
191.88,192.04,3,1,10
192.26,192.42,1,2,10
197.18,197.24,1,0,0
197.5,197.56,3,0,0
197.8,198.38,1,0,0
198.62,199.02,3,0,0
199.3,199.46,2,0,0
202.32,202.62,1,1,11
202.82,203.12,3,1,11
203.3,203.52,1,2,11
209.46,209.54,2,0,0
209.72,209.88,3,0,0
210.08,210.28,2,0,0
210.54,210.68,3,1,12
211.04,211.18,1,2,12
217.36,217.42,2,0,0
217.64,217.78,3,0,0
218.2,218.32,2,1,13
218.58,219.14,3,1,13
219.4,219.54,1,2,13
223.96,224.02,3,0,0
224.22,224.44,1,0,0
224.62,224.64,3,0,0
224.64,225,3,0,0
225.22,225.8,1,0,0
226.08,226.24,3,0,0
226.32,226.44,3,0,0
226.72,226.84,2,1,14
229.64,229.72,1,1,14
230.22,230.4,3,1,14
230.66,230.76,1,2,14
235.64,235.74,3,0,0
236.04,236.24,3,0,0
236.46,236.68,1,0,0
237.62,237.7,3,0,0
237.92,238.64,1,1,15
238.82,238.88,3,1,15
239.18,239.48,2,2,15
246.72,246.9,1,1,16
247.18,247.24,3,1,16
247.24,247.32,3,2,16
247.52,247.72,1,2,16
252.24,252.34,3,0,0
252.64,252.7,2,0,0
253.08,253.26,3,0,0
253.48,253.52,1,0,0
253.52,253.62,1,0,0
253.94,254.28,3,0,0
254.5,254.84,1,0,0
255.36,255.5,3,1,17
255.72,255.86,1,2,17
261.5,261.58,1,0,0
261.88,262.06,3,0,0
262.38,262.48,1,0,0
262.82,263.08,3,0,0
263.32,263.5,3,1,18
263.7,263.9,1,2,18
268.78,269.2,1,0,0
269.42,269.62,3,0,0
269.86,270.84,1,0,0
271.26,271.6,3,1,19
271.8,271.98,1,2,19
275.66,275.84,3,0,0
276.02,276.14,3,0,0
276.4,276.54,1,0,0
276.8,277.66,3,0,0
277.7,278.42,3,0,0
278.44,278.62,3,0,0
278.82,278.92,3,0,0
278.92,278.96,3,0,0
279,279.2,3,1,20
279.5,280.58,2,2,20
280.8,281.52,2,0,0
284.64,285.48,1,0,0
285.72,286.14,3,0,0
286.16,286.66,3,0,0
286.78,286.92,3,1,21
287.1,287.68,3,2,21
287.96,288.22,1,2,21
292.84,293.06,1,0,0
293.56,293.62,3,0,0
293.84,294.04,1,0,0
294.44,294.48,1,0,0
295.86,296.06,3,1,22
296.34,296.54,2,2,22
307.08,307.2,3,1,23
307.5,307.64,1,2,23
313.86,313.94,1,0,0
314.62,315.46,1,0,0
315.68,315.8,3,1,24
316.18,316.68,1,2,24
321.04,321.12,3,0,0
321.3,321.48,3,0,0
321.82,322.18,1,0,0
322.44,322.68,3,0,0
322.9,323.66,1,0,0
323.88,323.98,1,1,25
324.2,324.32,3,1,25
324.6,324.72,1,2,25
328.58,328.68,3,0,0
328.82,329.06,3,0,0
329.18,329.58,3,0,0
329.78,329.92,3,0,0
330.14,330.72,2,0,0
330.92,331.1,3,0,0
331.1,331.12,3,0,0
331.34,331.5,3,0,0
331.7,331.86,1,0,0
332.28,332.4,3,1,26
332.6,332.8,1,2,26
338.52,338.86,1,0,0
339.06,339.38,3,0,0
339.62,339.82,3,0,0
339.9,340.36,3,1,27
340.6,340.84,2,2,27
344.4,344.58,1,0,0
344.92,345.38,3,0,0
345.4,346.7,3,0,0
346.94,348,1,0,0
348.22,348.44,3,1,28
348.72,348.96,2,2,28
353.78,356.1,1,0,0
356.68,357.52,1,1,29
357.8,358.14,3,1,29
358.36,358.62,1,2,29
362.58,362.8,3,0,0
362.88,363.22,3,0,0
363.52,363.6,1,0,0
364.48,365.34,3,0,0
365.58,365.74,3,1,30
366.06,366.28,1,2,30
371.72,372.04,1,0,0
372.26,372.76,3,0,0
372.76,373.38,3,0,0
373.74,373.98,3,1,31
374.18,374.34,1,2,31
381.54,381.62,3,1,32
381.88,382.1,1,2,32
386.76,386.92,1,0,0
387.16,387.24,3,0,0
387.48,388.16,1,0,0
388.3,388.42,1,0,0
388.72,388.84,1,0,0
389.06,389.24,3,1,33
389.48,389.68,2,2,33
394.66,395.24,1,0,0
395.56,395.96,3,0,0
396.28,396.52,1,0,0
397.6,398,3,1,34
398.16,398.34,1,2,34
402.08,402.18,3,0,0
402.56,402.62,1,0,0
403,403.7,1,0,0
403.9,404.02,3,0,0
404.26,404.44,1,0,0
404.78,404.86,3,0,0
405.12,405.36,1,0,0
407.4,407.44,1,1,35
407.84,407.92,3,1,35
408.14,408.46,1,2,35
411.68,411.86,3,0,0
412.18,412.22,1,0,0
412.56,413.3,3,0,0
413.54,413.94,3,0,0
414.16,414.34,1,0,0
414.6,414.8,3,0,0
414.98,415.6,3,0,0
415.7,416.04,3,1,36
416.08,416.28,1,2,36
422.94,423.26,3,0,0
423.38,423.52,3,1,37
423.72,423.86,1,2,37
428.12,428.18,1,0,0
428.5,428.58,3,0,0
428.84,428.94,1,0,0
429.26,429.84,1,0,0
430.1,430.46,3,0,0
430.64,430.74,1,0,0
431.18,431.26,1,1,38
431.5,431.78,3,1,38
432.06,432.38,2,2,38
435.5,435.66,1,0,0
438.3,438.42,1,0,0
446.5,446.58,2,1,39
446.9,447.1,3,1,39
447.32,447.56,2,2,39
447.58,447.66,2,0,0
447.76,447.86,2,0,0
448.1,448.16,3,0,0
448.44,448.6,1,0,0
454.74,455,3,1,40
455.78,456.32,2,2,40
456.74,456.84,3,0,0
457.58,457.74,1,0,0
464.82,465.06,1,1,41
465.56,466.06,1,1,41
466.3,467.26,3,1,41
467.48,467.82,1,2,41
472.6,472.72,1,0,0
473.38,474.08,1,0,0
474.3,474.62,3,0,0
475.06,475.3,3,1,42
475.56,476.08,2,2,42
481.04,481.32,1,0,0
481.64,481.7,3,0,0
481.94,482.44,1,0,0
482.82,483.14,3,1,43
483.42,483.62,1,2,43
489.42,489.5,1,0,0
489.74,489.9,3,0,0
490.12,490.52,1,0,0
490.72,490.86,3,1,44
491.08,491.34,2,2,44
494.74,494.84,3,0,0
495.18,495.34,1,0,0
495.68,495.96,3,0,0
496.16,496.3,1,0,0
498.64,498.68,3,1,45
498.92,499.1,1,2,45
507.38,507.52,3,1,46
508.22,508.38,1,2,46
514.56,515.06,3,0,0
515.34,515.72,1,0,0
517.76,518,3,1,47
518.2,518.54,1,2,47
522.74,523.76,3,0,0
523.96,524.16,1,0,0
524.54,524.9,1,0,0
525.06,525.22,3,0,0
526.18,526.32,3,1,48
526.54,526.72,1,2,48
534.3,534.5,1,1,49
534.72,534.8,3,1,49
535.06,535.36,1,2,49
539.74,539.9,3,0,0
540.2,540.34,1,0,0
540.62,540.84,3,0,0
540.88,541.04,3,0,0
541.24,541.4,1,0,0
542.04,542.46,3,0,0
542.66,542.76,3,1,50
542.96,543.38,1,2,50
548.72,548.86,3,0,0
549.1,549.54,2,0,0
549.76,549.94,3,0,0
550.12,550.6,2,1,51
551.24,551.4,3,1,51
551.6,551.78,2,2,51
556.06,556.18,3,0,0
556.24,557.16,3,0,0
557.3,557.52,3,0,0
557.68,557.84,3,0,0
558.16,558.42,2,0,0
558.76,558.96,3,1,52
559.2,559.4,2,2,52
564.1,565.14,3,0,0
565.34,565.6,1,0,0
565.98,566.24,3,0,0
566.46,566.82,1,1,53
566.98,567.12,3,1,53
567.4,567.68,2,2,53
568.28,568.44,1,0,0
572.44,572.92,3,0,0
573.18,573.66,2,0,0
573.9,574.54,3,0,0
574.76,574.92,3,1,54
575.14,575.38,2,2,54
581.96,582.54,1,0,0
582.78,582.86,3,1,55
583.22,584.16,1,2,55
589.1,589.32,2,0,0
590.56,590.96,3,1,56
591.22,591.42,2,2,56
595.52,595.7,3,0,0
595.7,595.8,3,0,0
596.02,596.4,3,0,0
596.72,596.86,1,0,0
597.4,598,3,0,0
599.88,600.02,3,1,57
600.38,600.58,2,2,57
605.72,605.86,3,0,0
605.86,605.9,3,0,0
606.1,606.28,3,0,0
606.58,606.68,1,0,0
607.34,607.64,3,0,0
607.7,607.88,3,1,58
608.08,608.18,1,2,58
612.62,612.68,3,0,0
613.12,613.74,3,0,0
