cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
113.68,115,115.42,0.420000000000002,L2,1,0,1,0,0,1
122.54,122.7,123.36,0.659999999999997,L2,2,1,1,0,1,1
130.48,130.9,131.28,0.379999999999995,L2,3,1,0,2,0,0
138.38,142.04,142.54,0.5,L2,1,0,1,0,0,1
149.66,150.7,151.06,0.360000000000014,L2,2,1,0,2,0,0
158.16,159.76,160.46,0.700000000000017,L2,1,0,1,0,0,1
167.58,168.04,168.46,0.420000000000016,L2,2,1,1,0,1,1
175.58,176.32,176.68,0.360000000000014,L2,3,1,1,0,1,1
183.8,183.98,184.4,0.420000000000016,L2,4,0,1,0,0,1
191.52,191.88,192.26,0.379999999999995,L2,5,0,1,0,0,1
199.38,202.82,203.3,0.480000000000018,R2,1,1,1,0,0,0
210.42,210.54,211.04,0.5,R2,2,1,1,0,0,0
218.16,218.58,219.4,0.819999999999993,R2,3,0,1,0,0,1
226.52,230.22,230.66,0.439999999999998,R2,4,0,1,0,0,1
237.78,238.82,239.18,0.360000000000014,R2,5,1,0,2,1,1
246.28,247.18,247.52,0.340000000000003,R2,1,1,1,0,0,0
254.64,255.36,255.72,0.359999999999985,R2,2,1,1,0,0,0
262.84,263.32,263.7,0.379999999999995,R2,3,0,1,0,0,1
270.82,271.26,271.8,0.54000000000002,R2,4,0,1,0,0,1
278.92,279,279.5,0.5,R2,5,1,0,3,1,1
286.6,286.78,287.96,1.18000000000001,R2,1,1,1,0,0,0
295.08,295.86,296.34,0.479999999999961,R2,2,1,0,3,1,1
303.44,307.08,307.5,0.420000000000016,R2,1,1,1,0,0,0
314.62,315.68,316.18,0.5,R2,2,1,1,0,0,0
323.3,324.2,324.6,0.400000000000034,R2,3,0,1,0,0,1
331.72,332.28,332.6,0.32000000000005,R2,4,0,1,0,0,1
339.72,339.9,340.6,0.700000000000045,R2,5,1,0,3,1,1
347.7,348.22,348.72,0.5,R2,1,1,0,3,1,1
355.82,357.8,358.36,0.560000000000002,R2,1,1,1,0,0,0
365.48,365.58,366.06,0.480000000000018,R2,2,1,1,0,0,0
373.18,373.74,374.18,0.439999999999998,R2,3,0,1,0,0,1
381.3,381.54,381.88,0.339999999999975,R2,4,0,1,0,0,1
389,389.06,389.48,0.420000000000016,R2,5,1,0,3,1,1
396.58,397.6,398.16,0.560000000000002,R2,1,1,1,0,0,0
405.28,407.84,408.14,0.300000000000011,R2,2,1,1,0,0,0
415.26,415.7,416.08,0.379999999999995,R2,3,0,1,0,0,1
423.2,423.38,423.72,0.340000000000032,R2,4,0,1,0,0,1
430.84,431.5,432.06,0.560000000000002,R2,5,1,0,3,1,1
439.16,446.9,447.32,0.420000000000016,R2,1,1,0,3,1,1
454.42,454.74,455.78,1.03999999999996,R2,1,1,0,3,1,1
462.88,466.3,467.48,1.18000000000001,R2,1,1,1,0,0,0
474.6,475.06,475.56,0.5,R2,2,1,0,3,1,1
482.66,482.82,483.42,0.600000000000023,R2,1,1,1,0,0,0
490.54,490.72,491.08,0.359999999999957,R2,2,1,0,3,1,1
498.18,498.64,498.92,0.28000000000003,R2,1,1,1,0,0,0
