entryTime,exitTime,location,phase,taskTrial
104.16,104.26,3,0,0
104.6,104.8,2,0,0
111.54,111.68,3,1,1
111.94,112.12,1,2,1
118.8,118.86,2,0,0
118.9,118.96,2,0,0
119.16,119.32,3,1,2
119.62,119.98,1,2,2
127.72,127.76,1,1,3
127.98,128.7,3,1,3
129,129.24,2,2,3
133.52,133.64,3,0,0
134,134.32,2,0,0
134.58,134.8,3,0,0
135.02,135.32,2,0,0
136.6,137,3,1,4
137.2,137.56,2,2,4
142.88,142.96,1,0,0
143.34,143.64,3,0,0
144.08,144.2,1,0,0
144.54,144.76,1,1,5
145.7,145.82,3,1,5
146.06,146.2,1,2,5
160.56,160.88,3,1,6
161.14,161.44,1,2,6
161.7,161.9,3,0,0
162.3,162.5,2,0,0
174.06,174.26,2,1,7
175.36,175.64,3,1,7
175.8,176.02,2,2,7
181.76,182.04,3,0,0
182.18,182.62,3,0,0
182.72,182.86,3,0,0
183.08,183.22,2,1,8
183.5,183.6,3,1,8
183.82,184.08,2,2,8
190.66,191,2,0,0
191.22,191.34,3,1,9
191.78,192.18,1,2,9
232.06,232.44,3,1,10
232.7,232.94,2,2,10
237.44,237.98,3,0,0
238.22,238.52,2,0,0
238.92,239.08,3,0,0
239.3,239.72,2,0,0
240,240.18,3,1,11
240.56,240.92,2,2,11
246.84,246.98,3,0,0
247.16,247.34,3,0,0
247.58,247.7,2,0,0
247.96,248.12,3,1,12
248.42,248.7,1,2,12
255.08,255.38,3,0,0
255.38,255.56,3,0,0
255.76,256.2,3,1,13
256.38,256.62,2,2,13
261.8,262.24,3,0,0
262.24,262.5,3,0,0
262.68,262.86,3,0,0
263.14,263.36,2,0,0
263.68,263.82,3,1,14
264.04,264.24,2,2,14
269.82,269.94,3,0,0
270.28,270.44,2,0,0
270.7,270.9,3,0,0
271.18,271.66,2,1,15
271.84,271.98,3,1,15
272.34,272.58,1,2,15
309.36,309.9,3,1,16
310.18,310.4,2,2,16
314.6,315.5,3,0,0
315.78,315.98,2,0,0
316.4,316.56,3,0,0
316.84,317.26,2,0,0
319,319.42,3,1,17
319.66,319.88,2,2,17
326.04,326.34,3,0,0
326.58,326.74,2,0,0
327.08,327.42,3,1,18
327.72,327.92,1,2,18
335.36,335.72,3,1,19
335.96,336.12,2,2,19
342.4,342.96,3,0,0
343.18,343.38,2,1,20
343.4,343.44,2,1,20
343.74,343.86,3,1,20
344.04,344.3,2,2,20
350.58,351.44,3,0,0
351.68,351.82,3,1,21
352.1,353.14,1,2,21
357.88,358.42,2,0,0
358.66,358.84,3,0,0
359.08,359.64,2,0,0
359.92,360.44,3,1,22
360.72,361.12,2,2,22
366.4,367.04,3,0,0
367.28,367.42,2,0,0
370,370.14,3,1,23
370.32,370.58,2,2,23
375.92,375.98,3,0,0
376.7,376.92,3,0,0
383.42,383.56,3,1,24
383.82,384.04,2,2,24
390.6,390.84,2,0,0
391.08,391.32,3,1,25
391.52,391.76,2,2,25
398.8,399.18,3,1,26
399.38,399.78,2,2,26
405.28,405.84,3,0,0
406.1,406.38,2,0,0
407.38,407.64,3,1,27
407.9,408.12,1,2,27
415.14,415.52,3,1,28
415.72,416.1,2,2,28
420.8,421.02,3,0,0
421.32,421.38,1,0,0
421.76,421.96,3,0,0
422.18,422.44,1,0,0
427.02,427.38,2,1,29
427.68,427.86,3,1,29
428.04,428.24,2,2,29
433.58,433.7,3,0,0
433.94,434.1,2,0,0
436.18,436.46,3,1,30
436.78,437.04,1,2,30
442.5,442.54,1,0,0
442.84,442.94,3,0,0
443.24,443.38,2,0,0
448.12,448.32,3,1,31
448.58,448.74,1,2,31
454.08,454.9,3,0,0
455.22,455.48,1,0,0
455.92,456.1,3,1,32
456.36,456.9,2,2,32
457.4,457.66,2,0,0
466.98,467.22,3,1,33
467.48,467.92,2,2,33
520.16,520.56,3,1,34
520.8,521,1,2,34
525.54,526.84,3,0,0
527.06,527.4,2,0,0
527.7,527.82,3,0,0
528.22,528.34,2,1,35
528.56,528.68,3,1,35
528.96,529.18,1,2,35
533.74,533.82,1,0,0
534.06,534.58,3,0,0
534.84,534.92,2,0,0
538.62,539,3,1,36
539.24,539.42,1,2,36
546.58,546.76,3,1,37
547.02,547.22,1,2,37
554.4,554.58,3,1,38
554.84,555.04,1,2,38
561.64,562.08,3,0,0
564.38,564.54,3,1,39
564.8,565.06,2,2,39
570.54,570.78,3,0,0
571.16,571.2,1,0,0
571.58,571.98,3,0,0
572.34,572.52,3,1,40
572.72,572.9,1,2,40
578.56,579.16,3,0,0
579.4,579.5,2,0,0
580.92,581.12,3,1,41
581.32,581.58,2,2,41
585.7,586.06,3,0,0
589.92,590.12,3,1,42
590.52,590.7,3,2,42
590.94,591.2,1,2,42
598.96,599.32,3,1,43
599.5,599.7,2,2,43
604.6,606.96,3,0,0
607.14,607.28,3,1,44
607.54,607.84,1,2,44
612.92,613,3,0,0
613.06,613.18,3,0,0
613.28,613.5,3,0,0
613.92,614.1,2,0,0
626.16,627.12,3,1,45
627.32,627.62,1,2,45
627.96,628.1,3,0,0
635.42,635.6,3,1,46
635.82,636.1,2,2,46
641.08,641.34,3,0,0
641.98,642.06,3,0,0
643.16,643.24,3,1,47
643.58,643.86,1,2,47
650.98,651.46,3,1,48
651.68,651.92,2,2,48
660.72,660.78,3,1,49
661.42,661.62,2,2,49
667.12,667.44,3,0,0
668.22,668.42,1,0,0
668.68,669.1,3,1,50
669.3,669.48,1,2,50
674.54,674.74,3,0,0
675,675.3,2,0,0
676.4,677.1,3,0,0
677.12,677.3,3,1,51
677.52,677.86,1,2,51
683.98,684.12,2,0,0
684.42,684.66,2,0,0
684.88,685.14,3,1,52
685.32,685.68,2,2,52
689.98,690.46,3,0,0
693.32,694.04,3,1,53
694.22,694.42,2,2,53
699.72,701.12,3,0,0
701.4,701.56,2,1,54
702.16,702.26,3,1,54
702.54,702.7,1,2,54
702.74,702.96,1,0,0
709.2,709.48,2,0,0
709.68,709.94,3,1,55
710.24,710.52,1,2,55
716.92,717.72,3,0,0
717.96,718.14,2,1,56
718.42,718.76,3,1,56
718.98,719.34,2,2,56
725.8,725.94,2,0,0
726.16,726.34,3,1,57
726.6,727.04,2,2,57
731.78,732,3,0,0
732.2,732.38,3,0,0
734.14,734.28,3,1,58
734.6,734.82,1,2,58
740.48,741.04,3,0,0
741.14,741.64,3,0,0
741.84,742.14,2,1,59
742.6,742.68,3,1,59
742.96,743.34,1,2,59
748,748.22,2,0,0
748.46,748.62,3,0,0
748.82,749.3,2,0,0
749.78,749.96,3,0,0
751.52,752.12,3,1,60
752.34,752.54,1,2,60
758.62,759.04,2,0,0
760.12,760.24,3,1,61
760.46,760.66,2,2,61
765.32,766.14,3,0,0
766.46,766.62,2,0,0
769.22,769.44,3,1,62
769.62,770.2,2,2,62
775.86,775.98,3,0,0
776.2,776.44,2,0,0
776.8,776.92,3,1,63
777.2,777.4,1,2,63
786,786.36,3,1,64
787.32,787.8,1,2,64
793.58,793.72,3,0,0
794,794.46,2,0,0
794.8,795,3,1,65
795.2,795.48,2,2,65
800.9,801.06,3,0,0
801.3,801.56,2,0,0
802.7,802.8,3,1,66
803.12,803.48,2,2,66
810.32,810.5,3,1,67
810.76,810.94,1,2,67
819.16,819.54,2,1,68
819.8,820.44,3,1,68
820.62,820.88,2,2,68
826.06,826.18,3,0,0
826.44,826.86,2,0,0
828.46,828.58,3,1,69
828.76,828.96,2,2,69
833.84,834.82,3,0,0
834.84,835.1,3,0,0
835.32,835.62,2,0,0
836.7,836.8,3,1,70
837.06,837.32,2,2,70
844.6,844.88,3,1,71
845.04,845.3,2,2,71
852.08,852.16,3,0,0
852.44,852.62,3,1,72
852.86,853.04,1,2,72
853.52,853.68,3,0,0
860.38,860.44,3,1,73
860.72,860.98,2,2,73
866.8,866.94,3,0,0
867.64,868.04,2,0,0
869.24,869.4,3,1,74
869.6,869.78,2,2,74
878.6,878.72,3,1,75
883,884.16,3,0,0
884.4,884.64,2,0,0
892.66,892.92,3,1,76
893.16,893.36,1,2,76
894.5,895.18,3,0,0
901.7,901.84,3,1,77
902.32,902.36,1,2,77
902.36,902.6,1,0,0
908.62,909.26,3,0,0
909.56,909.94,2,1,78
910.24,910.58,3,1,78
910.76,910.98,2,2,78
916.98,917.18,2,0,0
919.96,920.08,2,1,79
926.76,926.94,3,1,79
927.2,927.54,2,2,79
934.66,935.26,3,1,80
935.62,935.8,1,2,80
940.78,940.86,2,0,0
941.58,941.72,3,0,0
941.96,942.34,2,0,0
951.5,951.74,2,1,81
952.18,952.52,3,1,81
952.8,953.18,1,2,81
963.48,963.62,3,1,82
963.98,964.32,2,2,82
971.86,972.02,3,1,83
972.3,972.48,2,2,83
980.64,980.82,2,1,84
987.06,987.34,3,1,84
987.54,987.74,2,2,84
994.06,994.24,3,0,0
994.52,994.72,2,0,0
998.5,998.78,3,1,85
998.96,999.14,2,2,85
1005.46,1005.88,3,0,0
1006.16,1006.3,2,1,86
1009.78,1010.2,3,1,86
1010.5,1010.82,1,2,86
1017.9,1018.06,3,1,87
1018.26,1018.48,2,2,87
1025.78,1026,3,1,88
1026.3,1026.58,2,2,88
1033.58,1033.8,3,1,89
1034.46,1034.86,1,2,89
1040.8,1041.06,3,0,0
1041.26,1041.52,2,0,0
1043.2,1043.5,3,1,90
1043.7,1043.9,2,2,90
1049.42,1050.02,3,0,0
1050.24,1050.52,2,0,0
1051.76,1051.92,3,1,91
1052.1,1052.38,2,2,91
1057.9,1058,3,0,0
1058.88,1058.92,2,0,0
1058.94,1059.02,2,0,0
1060.38,1060.54,3,1,92
1060.88,1061.16,1,2,92
1069.96,1070.26,2,1,93
1071.1,1071.18,3,1,93
1071.56,1071.78,2,2,93
1078.4,1079.32,3,0,0
1079.34,1079.44,3,1,94
1079.64,1079.86,2,2,94
1087.64,1087.82,3,1,95
1088.14,1088.36,2,2,95
1095.68,1095.86,3,1,96
1096.12,1096.38,2,2,96
1102.82,1103.62,3,0,0
1103.8,1103.94,3,1,97
1104.14,1104.34,2,2,97
1110.18,1110.38,3,0,0
1111.52,1111.74,3,1,98
1112.14,1112.32,1,2,98
1118.28,1118.34,3,0,0
1119.62,1120.64,2,1,99
1123,1123.12,3,1,99
1123.42,1123.6,2,2,99
1129.2,1129.32,3,0,0
1129.64,1130,2,0,0
1131.38,1131.48,3,1,100
1131.68,1131.86,2,2,100
1138.92,1139.9,3,1,101
1140.12,1140.32,2,2,101
1143.26,1144.02,3,0,0
1144.26,1144.4,2,0,0
1151.4,1151.64,3,1,102
1151.9,1152.22,2,2,102
1156.02,1156.04,2,0,0
1165.28,1165.52,3,1,103
1165.78,1166,1,2,103
1170.84,1170.92,1,0,0
1171.28,1174.12,3,0,0
1174.48,1174.56,2,1,104
1176.7,1176.84,3,1,104
1177.1,1177.42,2,2,104
1185.58,1185.98,3,1,105
1186.2,1186.44,2,2,105
1193.04,1193.22,3,0,0
1193.48,1193.62,2,1,106
1193.92,1194,3,1,106
1194.36,1194.56,3,2,106
1194.86,1195.06,1,2,106
1202.32,1202.48,3,1,107
1202.74,1202.88,1,2,107
1206.92,1207.5,1,0,0
1210.26,1210.34,1,1,108
1210.58,1211.04,3,1,108
1211.42,1211.72,2,2,108
1217.74,1217.8,3,0,0
1218.06,1218.58,3,0,0
1219.26,1219.8,3,1,109
1220.12,1220.34,2,2,109
1221.28,1221.34,1,0,0
1228.36,1228.54,3,1,110
1228.8,1229.26,1,2,110
1236.1,1236.34,3,1,111
1237.36,1237.56,2,2,111
1239.04,1239.26,3,0,0
1248.22,1248.32,3,1,112
1248.62,1248.84,1,2,112
1253.98,1254.12,1,0,0
1255.44,1255.84,1,0,0
1256.06,1256.28,3,1,113
1256.6,1256.82,2,2,113
1265.02,1265.32,1,1,114
1265.66,1265.94,3,1,114
1266.12,1266.42,1,2,114
1271.92,1273.34,3,0,0
1273.6,1273.72,3,1,115
1274,1274.22,2,2,115
1281.24,1281.48,3,1,116
1281.5,1281.68,3,2,116
1281.94,1282.08,1,2,116
1287.76,1287.88,3,0,0
1289.42,1289.6,1,1,117
1289.94,1290.04,3,1,117
1290.26,1290.5,1,2,117
1298.06,1298.2,3,1,118
1298.44,1298.72,1,2,118
1306.62,1306.74,3,1,119
1307.08,1307.24,1,2,119
1313.94,1314.02,3,0,0
1314.44,1314.48,1,1,120
1314.82,1314.94,3,1,120
1315.2,1315.46,1,2,120
1324.16,1325.86,3,1,121
1326.14,1326.44,2,2,121
1332.76,1332.86,3,0,0
1333.14,1333.56,1,0,0
1333.78,1333.98,3,1,122
1334.28,1334.46,2,2,122
1341.04,1341.82,3,0,0
1342,1342.16,3,1,123
1342.42,1342.6,1,2,123
1350.22,1350.34,3,1,124
1350.7,1350.9,1,2,124
1351.28,1351.44,3,0,0
1351.68,1352.12,1,0,0
1352.4,1352.84,3,0,0
1353.2,1353.38,2,0,0
1360.38,1360.44,3,1,125
1360.46,1360.58,3,2,125
1360.78,1360.96,2,2,125
1368.48,1368.62,3,1,126
1368.88,1369.1,2,2,126
1375.44,1375.6,3,0,0
1380.42,1380.6,3,1,127
1380.96,1381.3,2,2,127
1383.78,1383.94,3,0,0
1384.08,1386.34,3,0,0
1392.6,1392.82,3,1,128
1393.18,1393.52,1,2,128
1405.38,1405.46,3,1,129
1406.1,1406.28,1,2,129
1406.76,1406.98,3,0,0
1415.98,1416.08,3,1,130
1416.1,1416.48,3,2,130
1416.8,1417.12,2,2,130
1424.46,1424.64,3,1,131
1424.86,1425.08,2,2,131
1432.36,1432.52,3,1,132
1432.88,1433.08,1,2,132
1438.68,1438.88,1,0,0
1439.28,1439.62,3,0,0
1440,1440.56,2,0,0
1442,1442.16,3,1,133
1442.44,1442.66,2,2,133
1449.46,1449.72,3,0,0
1449.88,1450.02,3,1,134
1450.42,NaN,1,2,134
