cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
94.36,95.98,96.38,0.399999999999991,L2,1,0,1,0,0,1
103.5,106.6,106.96,0.359999999999999,L2,2,1,0,1,0,0
114.06,115.48,115.88,0.399999999999991,L2,1,0,1,0,0,1
123,124.9,125.54,0.640000000000001,L2,2,1,0,2,0,0
132.64,133.24,133.86,0.620000000000005,L2,1,0,0,2,1,0
140.96,142.94,143.3,0.360000000000014,L2,1,0,1,0,0,1
150.42,151.56,151.98,0.419999999999987,L2,2,1,1,0,1,1
159.1,163.04,163.86,0.820000000000022,L2,3,1,0,2,0,0
170.96,172.78,173.26,0.47999999999999,L2,1,0,1,0,0,1
180.38,181.26,182.24,0.980000000000018,L2,2,1,0,2,0,0
189.34,191.92,192.44,0.52000000000001,L2,1,0,1,0,0,1
199.56,200.3,200.68,0.379999999999995,L2,2,1,1,0,1,1
207.8,208.84,209.22,0.379999999999995,L2,3,1,1,0,1,1
216.34,216.4,216.98,0.579999999999984,L2,4,0,1,0,0,1
224.1,225.12,225.82,0.699999999999989,L2,5,0,1,0,0,1
232.94,241.22,241.84,0.620000000000005,R2,1,1,0,0,1,1
248.94,250.26,250.6,0.340000000000003,R2,1,1,0,1,1,1
257.7,258.58,259.06,0.480000000000018,R2,1,1,0,1,1,1
266.16,266.92,267.36,0.439999999999998,R2,1,1,0,1,1,1
274.46,277.56,278.86,1.30000000000001,R2,1,1,1,0,0,0
285.98,286.4,286.74,0.340000000000032,R2,2,1,1,0,0,0
293.86,295.66,296,0.339999999999975,R2,3,0,1,0,0,1
303.12,309.98,310.4,0.419999999999959,R2,4,0,1,0,0,1
317.52,318.56,319.02,0.45999999999998,R2,5,1,0,2,1,1
326.12,327.18,327.58,0.399999999999977,R2,1,1,0,2,1,1
334.68,336.58,337.02,0.439999999999998,R2,1,1,0,2,1,1
344.12,344.3,344.76,0.45999999999998,R2,1,1,0,2,1,1
351.86,354.28,354.7,0.420000000000016,R2,1,1,1,0,0,0
361.82,362.06,362.48,0.420000000000016,R2,2,1,0,2,1,1
369.58,372.7,373.12,0.420000000000016,R2,1,1,1,0,0,0
380.24,381.12,381.58,0.45999999999998,R2,2,1,0,2,1,1
388.68,389.28,389.78,0.5,R2,1,1,1,0,0,0
396.9,397.36,397.74,0.379999999999995,R2,2,1,0,2,1,1
404.84,409.5,409.9,0.399999999999977,R2,1,1,1,0,0,0
417.02,418,418.38,0.379999999999995,R2,2,1,0,2,1,1
425.48,426.16,426.58,0.419999999999959,R2,1,1,1,0,0,0
433.7,434.48,435.16,0.680000000000007,R2,2,1,1,0,0,0
442.28,442.42,442.76,0.339999999999975,R2,3,0,1,0,0,1
449.88,450.4,450.74,0.340000000000032,R2,4,0,1,0,0,1
457.86,458.28,458.62,0.340000000000032,R2,5,1,1,0,0,0
465.74,466.02,466.48,0.460000000000036,L3,1,1,1,0,1,1
473.6,475.64,476.04,0.400000000000034,L3,2,1,1,0,1,1
483.16,483.58,484.02,0.439999999999998,L3,3,0,1,0,0,1
491.14,491.92,492.32,0.399999999999977,L3,4,1,0,2,0,0
499.42,499.98,500.38,0.399999999999977,L3,1,1,1,0,1,1
507.5,509.94,510.62,0.680000000000007,L3,2,1,1,0,1,1
517.74,517.94,518.3,0.3599999999999,L3,3,0,1,0,0,1
525.42,525.74,526.14,0.399999999999977,L3,4,1,1,0,1,1
533.26,533.88,534.36,0.480000000000018,L3,5,0,0,3,1,0
541.46,545.72,546.14,0.419999999999959,L3,1,1,1,0,1,1
553.26,555.32,555.78,0.459999999999923,L3,2,1,0,3,0,0
562.88,563.66,564.18,0.519999999999982,L3,1,1,0,3,0,0
571.28,574.34,574.8,0.459999999999923,L3,1,1,1,0,1,1
581.92,583.38,583.84,0.460000000000036,L3,2,1,1,0,1,1
590.96,593.96,594.54,0.579999999999927,L3,3,0,1,0,0,1
601.66,602.84,603.58,0.740000000000009,L3,4,1,0,3,0,0
610.68,611.42,611.84,0.420000000000073,L3,1,1,0,3,0,0
618.94,619.38,619.86,0.480000000000018,L3,1,1,0,3,0,0
626.96,628.04,628.6,0.560000000000059,L3,1,1,0,3,0,0
635.7,639.18,639.58,0.400000000000091,L3,1,1,1,0,1,1
646.7,647.14,647.8,0.659999999999968,L3,2,1,0,3,0,0
654.9,655.22,655.6,0.379999999999995,L3,1,1,1,0,1,1
662.72,662.74,663.36,0.620000000000005,L3,2,1,1,0,1,1
670.48,673.48,673.92,0.439999999999941,L3,3,0,0,3,1,0
681.02,681.96,682.42,0.459999999999923,L3,1,1,0,3,0,0
689.52,690.22,690.78,0.559999999999945,L3,1,1,1,0,1,1
697.9,698.7,699.1,0.399999999999977,L3,2,1,1,0,1,1
706.22,706.6,707.08,0.480000000000018,L3,3,0,0,3,1,0
714.18,714.52,714.92,0.399999999999977,L3,1,1,1,0,1,1
722.04,723.36,723.76,0.399999999999977,L3,2,1,1,0,1,1
730.88,731.66,732.08,0.420000000000073,L3,3,0,1,0,0,1
739.2,741.18,741.58,0.400000000000091,L3,4,1,1,0,1,1
748.7,751.2,751.66,0.459999999999923,L3,5,0,1,0,0,1
758.78,762.16,762.6,0.440000000000055,F2,1,0,0,0,0,1
769.7,773.98,774.4,0.419999999999959,F2,1,0,0,1,0,1
781.5,782.6,783.04,0.439999999999941,F2,1,0,1,0,1,0
790.16,791.32,791.66,0.339999999999918,F2,2,1,1,0,1,1
798.78,799.46,799.86,0.399999999999977,F2,3,0,0,2,0,1
806.96,809.62,810.18,0.559999999999945,F2,1,0,1,0,1,0
817.3,817.96,818.46,0.5,F2,2,1,0,2,0,0
825.56,825.72,826.16,0.439999999999941,F2,1,0,1,0,1,0
833.28,834.3,834.8,0.5,F2,2,1,1,0,1,1
841.92,843.96,844.44,0.480000000000018,F2,3,0,0,2,0,1
851.54,853,853.38,0.379999999999995,F2,1,0,1,0,1,0
860.5,861.44,861.82,0.379999999999995,F2,2,1,1,0,1,1
868.94,869.06,869.84,0.780000000000086,F2,3,0,1,0,1,0
876.96,879.92,880.36,0.440000000000055,F2,4,1,1,0,1,1
887.48,888.22,888.62,0.399999999999977,F2,5,1,1,0,1,1
895.74,899.42,899.98,0.560000000000059,L4,1,0,1,0,0,1
907.1,907.66,908.06,0.399999999999977,L4,2,1,1,0,1,1
915.18,916.98,917.36,0.379999999999995,L4,3,1,1,0,1,1
924.48,927.76,928.22,0.460000000000036,L4,4,0,1,0,0,1
935.34,937.6,938.04,0.439999999999941,L4,5,0,1,0,0,1
945.16,948.24,948.64,0.399999999999977,R1,1,1,0,0,1,1
955.74,958.76,959.2,0.440000000000055,R1,1,1,0,1,1,1
966.3,966.42,966.86,0.440000000000055,R1,1,1,1,0,0,0
973.98,974.82,975.32,0.5,R1,2,0,1,0,0,1
982.44,983.56,983.88,0.32000000000005,R1,3,1,0,2,1,1
990.98,992.24,992.92,0.67999999999995,R1,1,1,0,2,1,1
1000.02,1002.66,1003.06,0.399999999999977,R1,1,1,1,0,0,0
1010.18,1011.8,1012.26,0.460000000000036,R1,2,0,1,0,0,1
1019.38,1023.02,1023.52,0.5,R1,3,1,1,0,0,0
1030.64,1031.44,1031.96,0.519999999999982,R1,4,0,1,0,0,1
1039.08,1041.06,1041.58,0.519999999999982,R1,5,0,1,0,0,1
1048.7,1049.42,1049.94,0.519999999999982,L1,1,1,1,0,1,1
1057.06,1059.48,1059.9,0.420000000000073,L1,2,0,1,0,0,1
1067.02,1067.06,1067.52,0.460000000000036,L1,3,1,1,0,1,1
1074.64,1074.74,1075.18,0.440000000000055,L1,4,1,1,0,1,1
1082.3,1082.86,1083.26,0.400000000000091,L1,5,0,0,2,1,0
1090.36,1091.3,1091.68,0.380000000000109,L1,1,1,1,0,1,1
1098.8,1100.54,1101,0.460000000000036,L1,2,0,1,0,0,1
1108.12,1111.42,1112.1,0.679999999999836,L1,3,1,0,2,0,0
1119.2,1119.86,1120.28,0.420000000000073,L1,1,1,1,0,1,1
1127.4,1128.06,1128.44,0.380000000000109,L1,2,0,1,0,0,1
1135.56,1136.5,1136.96,0.460000000000036,L1,3,1,0,2,0,0
1144.06,1144.52,1144.96,0.440000000000055,L1,1,1,1,0,1,1
1152.08,1153.3,1153.68,0.380000000000109,L1,2,0,0,2,1,0
1160.78,1161.38,1161.78,0.399999999999864,L1,1,1,1,0,1,1
1168.9,1169.08,1169.56,0.480000000000018,L1,2,0,0,2,1,0
1176.66,1178.72,1179.1,0.379999999999882,L1,1,1,1,0,1,1
1186.22,1189.46,1189.9,0.440000000000055,L1,2,0,1,0,0,1
1197.02,1197.42,1197.88,0.460000000000036,L1,3,1,1,0,1,1
1205,1206.76,1207.2,0.440000000000055,L1,4,1,0,2,0,0
1214.3,1217.76,1218.1,0.339999999999918,L1,1,1,0,2,0,0
1225.2,1226.16,1226.56,0.399999999999864,L1,1,1,1,0,1,1
1233.68,1236.42,1236.82,0.399999999999864,L1,2,0,1,0,0,1
1243.94,1245.88,1246.34,0.459999999999809,L1,3,1,1,0,1,1
1253.46,1254.16,1254.56,0.399999999999864,L1,4,1,0,2,0,0
1261.66,1264.56,1265.04,0.480000000000018,L1,1,1,0,2,0,0
1272.14,1272.64,1273.08,0.439999999999827,L1,1,1,1,0,1,1
1280.2,1280.76,1281.14,0.380000000000109,L1,2,0,0,2,1,0
1288.24,1289.72,1290.22,0.5,L1,1,1,0,2,0,0
1297.32,1299.16,1300.54,1.37999999999988,L1,1,1,1,0,1,1
1307.66,1307.78,1308.3,0.519999999999982,L1,2,0,1,0,0,1
1315.42,1316.06,1316.48,0.420000000000073,L1,3,1,1,0,1,1
1323.6,1325.14,1325.58,0.439999999999827,L1,4,1,0,2,0,0
1332.68,1333.88,1334.38,0.5,L1,1,1,1,0,1,1
1341.5,1341.74,1342.14,0.400000000000091,L1,2,0,0,2,1,0
1349.24,1350.06,1350.5,0.440000000000055,L1,1,1,0,2,0,0
