cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
94.75,95.2,95.73,0.530000000000001,L1,1,1,1,0,1,1
102.855,102.98,104.32,1.33999999999999,L1,2,0,1,0,0,1
111.445,111.975,112.5,0.525000000000006,L1,3,1,1,0,1,1
119.625,119.67,120.12,0.450000000000003,L1,4,1,1,0,1,1
127.245,127.78,129.2,1.41999999999999,L1,5,0,1,0,0,1
136.325,136.705,137.15,0.444999999999993,F1,1,0,0,0,0,1
144.255,144.675,145.07,0.394999999999982,F1,1,0,0,1,0,1
152.175,155.15,155.635,0.484999999999985,F1,1,0,0,1,0,1
162.74,165.3,165.76,0.45999999999998,F1,1,0,0,1,0,1
172.865,173.015,173.79,0.775000000000006,F1,1,0,0,1,0,1
180.895,181.505,182.045,0.539999999999992,F1,1,0,0,1,0,1
189.15,190.86,191.99,1.13,F1,1,0,1,0,1,0
199.115,199.45,199.795,0.344999999999999,F1,2,1,1,0,1,1
206.92,207.365,208.3,0.935000000000002,F1,3,0,1,0,1,0
215.425,215.645,216.445,0.799999999999983,F1,4,1,1,0,1,1
223.57,224.295,225.225,0.930000000000007,F1,5,0,0,2,0,1
232.33,232.53,233.145,0.615000000000009,F1,1,0,0,2,0,1
240.25,245.675,246.185,0.509999999999991,F1,1,0,0,2,0,1
253.29,253.795,254.235,0.440000000000026,F1,1,0,0,2,0,1
261.34,263.015,264.33,1.315,F1,1,0,1,0,1,0
271.455,271.515,271.95,0.435000000000002,F1,2,1,1,0,1,1
279.075,279.905,280.41,0.505000000000052,F1,3,0,0,2,0,1
287.515,287.795,288.245,0.449999999999989,F1,1,0,0,2,0,1
295.35,296.155,296.64,0.485000000000014,F1,1,0,1,0,1,0
303.765,304.285,304.785,0.5,F1,2,1,1,0,1,1
311.91,313.005,313.705,0.699999999999989,F1,3,0,0,2,0,1
320.81,321.67,322.175,0.504999999999995,F1,1,0,1,0,1,0
329.3,329.92,330.25,0.329999999999984,F1,2,1,1,0,1,1
337.375,337.915,338.335,0.419999999999959,F1,3,0,1,0,1,0
345.46,345.895,346.22,0.325000000000045,F1,4,1,1,0,1,1
353.345,355.17,355.875,0.704999999999984,F1,5,0,0,3,0,1
362.98,363.775,364.545,0.770000000000039,F1,1,0,1,0,1,0
371.67,373.665,374.34,0.674999999999955,F1,2,1,1,0,1,1
381.465,381.66,382.135,0.474999999999966,F1,3,0,0,3,0,1
389.24,389.975,390.965,0.989999999999952,F1,1,0,0,3,0,1
398.07,400.405,400.985,0.580000000000041,F1,1,0,0,3,0,1
408.09,409.95,411.375,1.42500000000001,F1,1,0,0,3,0,1
418.48,418.835,419.24,0.40500000000003,F1,1,0,0,3,0,1
426.345,426.865,427.365,0.5,F1,1,0,0,3,0,1
434.47,435.195,435.575,0.379999999999995,F1,1,0,1,0,1,0
442.7,446.705,447.13,0.425000000000011,F1,2,1,1,0,1,1
454.255,456.11,456.58,0.46999999999997,F1,3,0,1,0,1,0
463.705,465.345,465.73,0.384999999999991,F1,4,1,1,0,1,1
472.855,474.745,475.3,0.555000000000007,F1,5,0,1,0,1,0
482.425,482.595,483.07,0.474999999999966,L2,1,0,1,0,0,1
490.195,490.325,490.705,0.379999999999995,L2,2,1,1,0,1,1
497.83,498.75,499.12,0.370000000000005,L2,3,1,1,0,1,1
506.245,506.315,507.42,1.10500000000002,L2,4,0,1,0,0,1
514.545,514.715,515.135,0.419999999999959,L2,5,0,1,0,0,1
522.26,522.535,522.97,0.435000000000059,R2,1,1,0,0,1,1
530.075,530.85,531.41,0.559999999999945,R2,1,1,0,1,1,1
538.515,539.285,539.645,0.360000000000014,R2,1,1,0,1,1,1
546.75,548.39,548.805,0.414999999999964,R2,1,1,0,1,1,1
555.91,556.245,556.66,0.414999999999964,R2,1,1,0,1,1,1
563.765,564.01,564.39,0.379999999999995,R2,1,1,0,1,1,1
571.495,571.83,572.34,0.509999999999991,R2,1,1,0,1,1,1
579.445,580.12,580.53,0.409999999999968,R2,1,1,0,1,1,1
587.635,591.555,592.01,0.455000000000041,R2,1,1,0,1,1,1
599.115,599.585,600.35,0.764999999999986,R2,1,1,1,0,0,0
607.475,607.825,608.87,1.04499999999996,R2,2,1,1,0,0,0
615.995,617.045,617.565,0.520000000000095,R2,3,0,1,0,0,1
624.69,624.95,625.395,0.444999999999936,R2,4,0,1,0,0,1
632.52,633.25,633.71,0.460000000000036,R2,5,1,1,0,0,0
640.835,641.34,641.935,0.594999999999914,L3,1,1,0,0,0,0
649.04,652.365,652.785,0.419999999999959,L3,1,1,1,0,1,1
659.91,660.125,660.56,0.434999999999945,L3,2,1,1,0,1,1
667.685,667.94,668.585,0.644999999999982,L3,3,0,1,0,0,1
675.71,675.86,676.175,0.314999999999941,L3,4,1,1,0,1,1
683.3,683.465,683.855,0.389999999999986,L3,5,0,1,0,0,1
690.98,691.21,691.605,0.394999999999982,F2,1,0,1,0,1,0
698.73,698.935,699.425,0.490000000000009,F2,2,1,1,0,1,1
706.55,706.98,707.46,0.480000000000018,F2,3,0,0,2,0,1
714.565,714.77,715.155,0.384999999999991,F2,1,0,0,2,0,1
722.26,722.795,723.145,0.350000000000023,F2,1,0,0,2,0,1
730.25,731.945,732.485,0.539999999999964,F2,1,0,0,2,0,1
739.59,741.6,742.815,1.21500000000003,F2,1,0,1,0,1,0
749.94,750.16,750.47,0.310000000000059,F2,2,1,1,0,1,1
757.595,757.745,758.28,0.534999999999968,F2,3,0,0,2,0,1
765.385,766.84,767.95,1.11000000000001,F2,1,0,1,0,1,0
775.075,775.73,776.215,0.485000000000014,F2,2,1,1,0,1,1
783.34,784.025,784.615,0.590000000000032,F2,3,0,1,0,1,0
791.74,792.055,792.715,0.660000000000082,F2,4,1,1,0,1,1
799.84,800.13,800.51,0.379999999999995,F2,5,1,1,0,1,1
807.635,807.665,808.92,1.255,L4,1,0,1,0,0,1
816.045,816.235,816.705,0.470000000000027,L4,2,1,1,0,1,1
