cueTime,initTime,respTime,RT,rule,block,light,performance,error,frontChoice,lightChoice
112.895,113.315,113.765,0.450000000000003,L2,1,0,0,0,1,0
120.87,124.36,124.755,0.394999999999996,L2,1,0,1,0,0,1
131.88,132.565,133.05,0.485000000000014,L2,2,1,0,2,0,0
140.155,141.145,141.455,0.310000000000002,L2,1,0,0,2,1,0
148.56,150.69,151.03,0.340000000000003,L2,1,0,1,0,0,1
158.155,158.19,158.755,0.564999999999998,L2,2,1,1,0,1,1
165.88,166.04,166.545,0.504999999999995,L2,3,1,1,0,1,1
173.67,182.81,183.185,0.375,L2,4,0,1,0,0,1
190.31,190.97,191.36,0.390000000000015,L2,5,0,1,0,0,1
198.485,198.94,199.43,0.490000000000009,R2,1,1,1,0,0,0
206.555,206.62,207.59,0.969999999999999,R2,2,1,0,1,1,1
214.695,215.035,215.44,0.405000000000001,R2,1,1,0,1,1,1
222.545,222.745,223.22,0.474999999999994,R2,1,1,1,0,0,0
230.345,231.045,231.395,0.350000000000023,R2,2,1,1,0,0,0
238.52,238.975,239.335,0.360000000000014,R2,3,0,1,0,0,1
246.46,246.65,247.08,0.430000000000007,R2,4,0,1,0,0,1
254.205,254.67,255.075,0.405000000000001,R2,5,1,1,0,0,0
262.2,262.42,262.855,0.435000000000002,L3,1,1,1,0,1,1
269.98,270.415,271.3,0.884999999999991,L3,2,1,1,0,1,1
278.425,278.485,279.04,0.555000000000007,L3,3,0,1,0,0,1
286.165,290.38,291.015,0.634999999999991,L3,4,1,0,2,0,0
298.12,305.59,306.095,0.505000000000052,L3,1,1,1,0,1,1
313.22,313.68,314.105,0.425000000000011,L3,2,1,1,0,1,1
321.23,321.475,321.92,0.444999999999993,L3,3,0,1,0,0,1
329.045,329.295,329.895,0.599999999999966,L3,4,1,1,0,1,1
337.02,337.545,337.98,0.435000000000002,L3,5,0,1,0,0,1
345.105,345.33,345.8,0.470000000000027,F2,1,0,0,0,0,1
352.905,354.42,354.72,0.300000000000011,F2,1,0,1,0,1,0
361.845,362.88,363.235,0.355000000000018,F2,2,1,1,0,1,1
370.36,370.665,371.23,0.564999999999998,F2,3,0,1,0,1,0
378.355,378.885,379.375,0.490000000000009,F2,4,1,1,0,1,1
386.5,386.94,387.34,0.399999999999977,F2,5,1,1,0,1,1
394.465,394.68,395.465,0.784999999999968,L4,1,0,1,0,0,1
402.59,402.73,403.195,0.464999999999975,L4,2,1,1,0,1,1
410.32,410.435,411.025,0.589999999999975,L4,3,1,1,0,1,1
418.15,418.26,419.01,0.75,L4,4,0,1,0,0,1
426.135,426.74,427.37,0.629999999999995,L4,5,0,1,0,0,1
434.495,435.83,436.86,1.03000000000003,R1,1,1,0,0,1,1
443.965,444.65,444.935,0.285000000000025,R1,1,1,0,1,1,1
452.04,452.72,453.19,0.46999999999997,R1,1,1,0,1,1,1
460.295,461.97,462.4,0.42999999999995,R1,1,1,1,0,0,0
469.525,469.895,470.325,0.430000000000007,R1,2,0,1,0,0,1
477.45,478.315,478.71,0.394999999999982,R1,3,1,1,0,0,0
485.835,486.115,486.565,0.449999999999989,R1,4,0,1,0,0,1
493.69,494.625,495.07,0.444999999999993,R1,5,0,1,0,0,1
502.195,502.43,503.075,0.644999999999982,L1,1,1,1,0,1,1
510.2,510.405,510.89,0.485000000000014,L1,2,0,1,0,0,1
518.015,519,519.405,0.404999999999973,L1,3,1,1,0,1,1
526.53,528.115,528.81,0.694999999999936,L1,4,1,1,0,1,1
535.935,536.61,537.05,0.439999999999941,L1,5,0,1,0,0,1
544.175,545.865,546.295,0.42999999999995,F1,1,0,0,0,0,1
553.4,553.995,554.4,0.404999999999973,F1,1,0,0,1,0,1
561.505,561.83,562.35,0.519999999999982,F1,1,0,0,1,0,1
569.455,571.185,571.615,0.430000000000064,F1,1,0,0,1,0,1
578.72,579.565,579.875,0.309999999999945,F1,1,0,1,0,1,0
587,587.19,587.82,0.629999999999995,F1,2,1,1,0,1,1
594.945,595.355,596.01,0.654999999999973,F1,3,0,0,2,0,1
603.115,603.74,604.11,0.370000000000005,F1,1,0,1,0,1,0
611.235,611.355,612.01,0.654999999999973,F1,2,1,1,0,1,1
619.135,619.44,619.96,0.519999999999982,F1,3,0,0,2,0,1
627.065,629.595,630.03,0.434999999999945,F1,1,0,1,0,1,0
637.155,637.46,638.015,0.55499999999995,F1,2,1,1,0,1,1
645.14,645.385,646.105,0.720000000000027,F1,3,0,1,0,1,0
653.23,653.545,654.225,0.680000000000064,F1,4,1,1,0,1,1
661.35,661.675,662.355,0.680000000000064,F1,5,0,0,3,0,1
669.46,669.855,670.3,0.444999999999936,F1,1,0,1,0,1,0
677.425,677.805,678.275,0.470000000000027,F1,2,1,1,0,1,1
685.4,685.49,685.995,0.504999999999995,F1,3,0,1,0,1,0
693.12,693.855,694.335,0.480000000000018,F1,4,1,1,0,1,1
701.46,702.17,702.52,0.350000000000023,F1,5,0,1,0,1,0
