entryTime,exitTime,location,phase,taskTrial
119.15,119.82,3,0,0
120.05,120.345,2,1,1
120.585,120.905,3,1,1
121.115,121.65,1,2,1
130.53,130.83,3,1,2
131.065,131.505,1,2,2
132.1,132.595,1,0,0
132.9,132.95,3,0,0
132.96,133.035,3,0,0
133.64,134.035,1,0,0
139.515,140,3,1,3
140.605,141.09,1,2,3
151.135,151.62,3,1,4
151.915,152.82,2,2,4
158.17,159.72,2,0,0
160,160.2,3,1,5
160.415,161.505,2,2,5
169.15,169.19,2,1,6
169.705,170.165,3,1,6
170.375,171.575,2,2,6
178.105,178.735,2,1,7
178.84,179.155,2,1,7
179.385,179.705,3,1,7
179.9,180.755,2,2,7
188.21,188.365,3,1,8
188.71,189.43,2,2,8
195.06,195.23,2,0,0
195.685,196.71,2,0,0
196.985,197.235,3,1,9
197.425,197.85,2,2,9
197.895,198.445,2,0,0
205.63,205.84,3,1,10
206.64,207.18,1,2,10
213.975,214.4,1,1,11
214.725,215.01,3,1,11
215.24,215.44,3,2,11
215.76,216.13,1,2,11
216.4,216.68,3,0,0
217.085,217.305,2,0,0
223.145,223.255,3,1,12
223.85,225.165,2,2,12
230.5,230.885,1,0,0
231.24,231.755,3,1,13
232.15,232.61,1,2,13
237.975,239.215,3,0,0
239.485,239.565,2,1,14
239.865,240.145,3,1,14
240.34,240.76,2,2,14
247.655,248.135,3,1,15
248.37,248.91,2,2,15
254.4,255.265,2,0,0
255.595,256.455,3,1,16
256.655,257.82,2,2,16
258.065,258.27,3,0,0
258.545,258.76,2,0,0
264.675,265.24,3,1,17
265.465,266.2,1,2,17
269.965,270.18,3,0,0
270.485,270.7,1,0,0
271.165,271.365,3,0,0
272.41,273.015,1,0,0
273.34,273.855,3,1,18
274.355,274.945,2,2,18
280.475,280.78,1,0,0
281.14,281.33,3,0,0
281.75,282.005,3,1,19
282.245,283.25,2,2,19
287.08,288.75,2,0,0
289.045,289.275,3,0,0
289.525,289.8,2,1,20
290.015,290.46,3,1,20
290.595,290.905,3,2,20
291.13,291.945,2,2,20
299.385,299.79,3,1,21
300.005,300.65,1,2,21
305.855,306.035,3,0,0
306.48,307.835,3,0,0
308.27,308.46,3,1,22
308.685,309.21,2,2,22
314.78,315.035,1,0,0
315.41,315.495,3,0,0
315.875,316.385,1,1,23
316.625,316.965,3,1,23
317.345,317.955,2,2,23
322.775,323.37,2,0,0
323.72,324,3,0,0
324.255,324.735,2,0,0
324.93,325.285,3,1,24
325.665,326.92,2,2,24
333.11,333.76,3,1,25
334.015,334.575,1,2,25
340.22,340.755,1,0,0
341.085,341.24,3,0,0
341.41,341.59,3,1,26
341.895,342.54,2,2,26
347.07,347.24,2,0,0
347.595,348.305,2,0,0
348.595,348.92,3,0,0
348.95,349.75,3,0,0
350.03,350.18,1,1,27
350.51,350.585,3,1,27
350.91,351.245,3,2,27
351.465,351.85,1,2,27
352.15,352.23,3,0,0
363.73,364.62,3,1,28
364.84,365.535,1,2,28
370.18,370.415,2,0,0
370.935,371.335,2,0,0
371.365,371.615,2,0,0
371.865,372.51,3,0,0
372.535,372.735,3,1,29
373.065,373.93,1,2,29
374.34,374.965,1,0,0
381.88,381.92,3,1,30
381.925,382.555,3,2,30
382.885,383.12,3,2,30
383.33,383.76,1,2,30
388.405,389.26,2,0,0
389.575,391.83,3,0,0
392.05,392.405,3,1,31
392.595,393.235,2,2,31
398.34,398.945,1,0,0
399.23,399.625,3,0,0
399.95,400.215,1,1,32
400.435,400.68,3,1,32
400.97,401.5,2,2,32
405.225,406.81,2,0,0
407.145,407.305,3,0,0
407.545,408.165,2,0,0
408.415,408.705,3,1,33
408.865,409.365,3,2,33
409.64,410.19,1,2,33
415.955,416.2,1,0,0
417.45,417.625,3,1,34
418.085,418.705,1,2,34
424.075,424.145,3,0,0
424.19,424.255,3,0,0
424.685,424.91,2,0,0
425.35,425.785,3,1,35
425.985,426.605,2,2,35
435.69,436.09,3,1,36
436.35,436.975,2,2,36
437.36,437.58,2,0,0
437.855,438.045,3,0,0
438.325,438.695,1,0,0
449.185,450.06,3,1,37
450.29,450.765,1,2,37
457.045,457.19,2,0,0
457.53,457.735,2,1,38
457.925,458.42,3,1,38
458.645,459.165,1,2,38
463.96,464.39,3,0,0
464.645,465.09,3,0,0
465.375,465.7,1,0,0
466.145,466.46,3,1,39
466.715,467.16,2,2,39
476.34,476.785,3,1,40
477.115,477.54,2,2,40
478.075,478.42,2,0,0
485.73,486.45,3,1,41
486.825,487.055,3,2,41
487.37,488.04,1,2,41
492.035,492.13,3,0,0
492.28,492.45,3,0,0
492.66,492.86,3,0,0
493.09,493.845,1,0,0
494.13,494.34,3,0,0
494.56,495.085,1,1,42
495.1,495.25,1,1,42
499.265,499.555,3,1,42
499.605,499.675,3,2,42
499.94,500.745,1,2,42
506.06,506.425,1,0,0
506.8,506.84,3,0,0
507.415,507.485,3,1,43
507.85,508.36,2,2,43
514.635,515.63,3,0,0
516.26,516.285,2,1,44
517.815,518.285,3,1,44
518.72,519.3,2,2,44
529.55,529.875,3,1,45
530.3,530.835,2,2,45
539.865,540.045,3,1,46
540.365,540.93,1,2,46
545.76,545.855,3,0,0
547.2,547.705,1,0,0
547.845,548.03,1,1,47
548.27,548.69,3,1,47
548.905,549.62,1,2,47
554.895,555.395,1,0,0
555.745,556.005,3,0,0
556.28,556.525,3,1,48
556.84,557.42,1,2,48
562.025,562.265,1,0,0
562.805,563.1,3,0,0
563.13,563.31,3,0,0
563.58,563.955,1,0,0
564.175,564.275,1,1,49
564.585,564.73,3,1,49
565.055,565.685,1,2,49
565.805,565.96,1,0,0
571.54,571.785,2,0,0
571.8,572.04,2,0,0
572.63,573.05,3,1,50
573.265,573.8,1,2,50
580.195,581.11,3,0,0
581.425,581.745,1,1,51
581.785,581.85,1,1,51
581.91,582.385,1,1,51
582.695,582.995,3,1,51
583.275,584.04,2,2,51
589.19,589.535,1,0,0
589.8,590,1,0,0
590.14,590.36,1,0,0
590.66,591.11,3,1,52
591.33,592.04,1,2,52
596.675,596.695,2,0,0
597.01,597.85,2,0,0
598.13,598.865,3,0,0
598.9,599.125,3,1,53
599.36,600.245,2,2,53
605.44,605.61,1,0,0
605.95,606.32,3,0,0
607.305,607.49,3,1,54
607.725,608.07,1,2,54
608.675,608.815,3,0,0
609.365,609.59,2,0,0
615.69,616.205,3,1,55
616.7,617.515,2,2,55
622.415,623.575,2,0,0
623.84,624.055,3,1,56
624.315,624.78,1,2,56
629.925,630.42,1,0,0
630.705,631.06,1,0,0
631.415,631.47,3,0,0
631.74,631.86,3,1,57
631.87,631.95,3,2,57
632.165,632.59,1,2,57
632.92,633.14,1,0,0
633.41,633.7,3,0,0
633.91,634.24,1,0,0
639.95,640.34,3,1,58
641.005,641.72,2,2,58
648.595,648.755,2,1,59
648.955,649.4,3,1,59
649.655,650.25,2,2,59
650.58,650.915,3,0,0
655.225,655.805,1,0,0
656.01,656.27,1,0,0
656.375,656.685,1,0,0
657.03,657.35,3,1,60
657.615,658.16,1,2,60
658.7,658.75,3,0,0
659.17,659.45,1,0,0
