"","X","Animal","Session.Number","Outcome","Protocol","Stim","Omission_or_not","Premature_or_not","Accuracy","Reaction.Time"
"1",1,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.4
"2",2,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.14
"3",3,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.385
"4",4,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.205
"5",5,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.045
"6",6,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.365
"7",7,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.295
"8",8,"FC2","1","Omission","5CSRTT Day 1","off","Omission","Omission","",NA
"9",9,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.255
"10",10,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.41
"11",11,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.605
"12",12,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.82
"13",13,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.145
"14",14,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.405
"15",15,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",1.435
"16",16,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.58
"17",17,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.4
"18",18,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.575
"19",19,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",3.72
"20",20,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.43
"21",21,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.985
"22",22,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.905
"23",23,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.425
"24",24,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.615
"25",25,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"26",26,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.46
"27",27,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.445
"28",28,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.715
"29",29,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.39
"30",30,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",3.3
"31",31,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-0.3
"32",32,"FC2","1","Incorrect Response","5CSRTT Day 1","off","Not_omission","Not_premature","Error",0.325
"33",33,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"34",34,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.34
"35",35,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.71
"36",36,"FC2","1","Premature Response","5CSRTT Day 1","off","Not_omission","Premature","",-1.235
"37",37,"FC2","1","Reward","5CSRTT Day 1","off","Not_omission","Not_premature","Reward",0.415
