Subject,Session,Stim,middle_body.time.stationary,traveled_distance_cm,speed_moving_cm.s
DN1,1,OFF,196.7,1698.20298,0.604041752
DN1,2,ON,308.8333333,1584.119164,0.588061164
DN1,3,OFF,295.4666667,1439.1627,0.531749649
DN1,4,ON,240.0333333,1713.814985,0.61931689
DN1,5,OFF,238.0666667,1589.554343,0.574683116
DN1,6,ON,315.6333333,1672.390358,0.621852862
DN1,7,OFF,272.6333333,1711.795051,0.626579772
DN1,8,OFF,411.1,1689.327617,0.652124152
DN1,9,ON,647.0333333,1011.531362,0.437179503
DN1,10,OFF,258.5333333,1669.617017,0.608335384
DN1,11,ON,267.0666667,1857.282613,0.677914594
DN1,12,OFF,435.4333333,1418.458575,0.552502691
DN1,13,ON,592.3666667,1476.512559,0.611983653
DN1,14,OFF,203.7,2090.752121,0.746901695
DN1,15,ON,174.6666667,1917.343083,0.67667748
DN2,1,OFF,557.9,1035.765642,0.423533643
DN2,2,ON,622.4333333,1149.762499,0.482397591
DN2,3,OFF,112.9666667,1740.297634,0.602770063
DN2,4,ON,360.5,1302.559254,0.492690702
DN2,5,OFF,347.4333333,1306.425505,0.492247741
DN2,6,ON,420.1,1291.704714,0.50066721
DN2,7,OFF,338.9666667,1392.567063,0.52298405
DN2,8,ON,376.7333333,1244.302331,0.474230705
DN2,9,OFF,296.9333333,1405.026174,0.51877251
DN2,10,ON,408.8,1295.148329,0.498453494
DN2,11,OFF,347.0333333,1165.885169,0.439459166
DN2,12,ON,391.9333333,1284.698733,0.491136595
DN2,13,OFF,511.0333333,1110.164394,0.445908848
DN2,14,ON,743.0333333,875.3733084,0.387481914
DN2,15,OFF,454.7,1362.685046,0.53368866
DN2,16,ON,267.3,1444.179664,0.527169069
DN3,1,OFF,181.7,1756.64826,0.622549619
DN3,2,ON,362.5,1966.691894,0.743953962
DN3,3,OFF,330.0666667,1806.815065,0.675470135
DN3,4,ON,361.8666667,1409.328962,0.532639634
DN3,5,OFF,220.4333333,1561.217628,0.560299177
DN3,6,ON,333.9333333,1598.708761,0.598110226
DN3,7,OFF,133.0666667,1791.931156,0.623562361
DN3,8,OFF,189.3666667,1621.176447,0.57574957
DN3,9,ON,273.7,1690.172422,0.618107014
DN3,10,OFF,187.1666667,1513.669011,0.538123271
DN3,11,ON,301.7,1517.07177,0.561760533
DN3,12,OFF,160.3,1588.39447,0.559339783
DN3,13,ON,379.3666667,1624.118618,0.61920722
DN3,14,OFF,202,1672.820509,0.597841574
DN3,15,ON,212.5333333,1440.776811,0.515483653
DN3,16,ON,541.3,1356.351092,0.5501397
DN4,1,OFF,330.4666667,1519.481007,0.568462385
DN4,2,ON,405.8,1256.873322,0.483567806
DN4,3,OFF,309.7333333,1770.128426,0.656778836
DN4,4,ON,199.5333333,1781.66299,0.6360659
DN4,5,OFF,205.5333333,1578.295569,0.563301455
DN4,6,ON,257.4666667,1593.145565,0.579241407
DN4,7,OFF,272.4,1742.968682,0.638762039
DN4,8,OFF,448.2,1463.660776,0.572182058
DN4,9,ON,209.6,1541.496963,0.551986881
DN4,10,OFF,534.3666667,1268.080938,0.513157636
DN4,11,ON,270.6333333,1566.386386,0.572251684
DN4,12,OFF,454.7,1301.533795,0.511193918
DN4,13,ON,471.7333333,1359.613041,0.536851827
DN4,14,OFF,353.4333333,1619.740977,0.611284523
DN4,15,ON,259,1654.821544,0.602534758
DN4,16,ON,515.0666667,1246.871976,0.501570963
DN5,1,OFF,338.6333333,1486.343949,0.556905611
DN5,2,ON,450.1,1400.110755,0.54879761
DN5,3,OFF,449.3666667,1278.24112,0.499944378
DN5,4,ON,515.6666667,1204.542865,0.483965955
DN5,5,OFF,282.3,1393.20435,0.5117434
DN5,6,ON,302.0333333,1595.180748,0.590596237
DN5,7,OFF,295.6,1523.128858,0.562213051
DN5,8,OFF,257.8333333,1518.323416,0.552117606
DN5,9,ON,439.6333333,1311.893162,0.511452676
DN5,10,OFF,567.0666667,1166.030302,0.479157716
DN5,11,ON,466.1333333,1652.41283,0.650846636
DN5,12,ON,163.8,1905.159755,0.670468909
DN5,13,OFF,435.7666667,1242.442582,0.483848607
DN5,14,ON,260.4666667,1633.48133,0.595994307
DN5,15,OFF,342.9333333,1434.729313,0.539554478
DN5,16,ON,513.2666667,1211.130405,0.485474896
S16,1,OFF,320.8,1474.747622,0.546066678
S16,2,OFF,222.9,1823.286128,0.654051269
S16,3,ON,318.3,1441.345429,0.534447569
S16,4,OFF,410.0666667,1440.915758,0.551971032
S16,5,ON,458.6666667,1411.993642,0.551220676
S16,6,OFF,393.9,1482.712109,0.565202862
S16,7,ON,383.3333333,1579.256977,0.599474341
S16,8,OFF,402,1628.352503,0.622335826
S16,9,ON,339.6666667,1676.068927,0.626328209
S16,10,OFF,458.2333333,1375.078237,0.53626053
S16,11,ON,349.6666667,1792.963709,0.672967999
S16,12,OFF,355.1666667,1477.262351,0.554901322
S16,13,ON,458.7333333,1491.309597,0.582170998
S16,14,OFF,261.4,1538.103246,0.558276282
S16,15,ON,529.3,1317.972548,0.527398943
S16,16,OFF,532.7,1478.818269,0.593415034
S16,17,ON,569.9666667,1341.685056,0.546294798
S16,18,OFF,185.8,1708.188971,0.603816383
S17,1,OFF,241.6,1623.954436,0.586218923
S17,2,OFF,267.9333333,1582.778433,0.576478072
S17,3,OFF,225.7,1545.27234,0.554175704
S17,4,ON,190,1749.415649,0.620138967
S17,5,OFF,257.8666667,1836.420398,0.66586659
S17,6,ON,276.8,1653.189781,0.604069941
S17,7,OFF,263.2666667,1867.112777,0.678602997
S17,8,ON,269.9666667,1663.218744,0.606624581
S17,9,OFF,302.6666667,1597.034964,0.588999857
S17,10,ON,294.8,1634.178566,0.600567903
S17,11,OFF,340.9666667,1401.681007,0.52336617
